Time,T600,A1,B1,C1,D1,E1,F1,,,A2,B2,C2,D2,E2,F2,,,A3,B3,C3,D3,E3,F3,,,A4,B4,C4,D4,E4,F4,,,A5,B5,C5,D5,E5,F5,,,A6,B6,C6,D6,E6,F6,,,A7,B7,C7,D7,E7,F7,,,A8,B8,C8,D8,E8,F8,,,A9,B9,C9,D9,E9,F9,,,A10,B10,C10,D10,E10,F10,,,A11,B11,C11,D11,E11,F11,,,A12,B12,C12,D12,E12,F12,,
0,,0.072,0.083,0.067,0.073,0.061,0.070,,,0.081,0.077,0.060,0.063,0.063,0.072,,,,0.065,0.072,0.072,0.070,0.076,,,0.063,0.076,0.068,0.083,0.070,0.070,,,0.066,0.067,0.061,0.073,0.062,0.069,,,0.065,0.083,0.066,0.067,0.062,0.076,,,0.067,0.070,0.066,0.069,0.066,0.077,,,0.065,0.074,0.070,0.087,0.069,0.074,,,,0.071,0.065,0.062,0.066,0.071,,,0.073,0.077,0.075,0.068,0.066,0.078,,,0.072,0.071,0.067,0.073,0.061,0.075,,,0.0683,0.0695,0.068,0.0704,0.071,0.0839,,
0.25,,0.083,0.094,0.077,0.086,0.072,0.082,,,0.092,0.089,0.071,0.075,0.075,0.085,,,,0.077,0.084,0.084,0.082,0.088,,,0.074,0.087,0.077,0.094,0.080,0.081,,,0.077,0.079,0.072,0.084,0.074,0.081,,,0.076,0.094,0.076,0.078,0.073,0.087,,,0.078,0.081,0.076,0.080,0.077,0.089,,,0.076,0.085,0.080,0.096,0.080,0.086,,,,0.082,0.076,0.072,0.078,0.084,,,0.085,0.087,0.087,0.080,0.079,0.091,,,0.084,0.082,0.079,0.085,0.074,0.088,,,0.08015,0.08075,0.07835,0.08355,0.08395,0.09655,,
0.5,,0.098,0.108,0.091,0.099,0.086,0.096,,,0.107,0.103,0.085,0.088,0.089,0.099,,,,0.092,0.096,0.097,0.096,0.103,,,0.088,0.100,0.089,0.106,0.093,0.095,,,0.092,0.092,0.085,0.096,0.087,0.094,,,0.090,0.107,0.089,0.090,0.086,0.100,,,0.092,0.093,0.088,0.092,0.089,0.103,,,0.089,0.098,0.092,0.108,0.093,0.099,,,,0.095,0.087,0.084,0.090,0.097,,,0.098,0.100,0.099,0.093,0.092,0.105,,,0.097,0.095,0.092,0.098,0.087,0.102,,,0.09345,0.09395,0.09135,0.09685,0.09605,0.11095,,
0.75,,0.115,0.124,0.106,0.116,0.102,0.112,,,0.124,0.119,0.100,0.103,0.105,0.116,,,,0.107,0.111,0.112,0.111,0.118,,,0.104,0.114,0.103,0.121,0.107,0.110,,,0.107,0.106,0.098,0.110,0.102,0.109,,,0.106,0.121,0.103,0.105,0.100,0.116,,,0.107,0.107,0.101,0.106,0.104,0.118,,,0.105,0.113,0.105,0.122,0.107,0.114,,,,0.109,0.101,0.098,0.104,0.112,,,0.112,0.113,0.112,0.106,0.106,0.120,,,0.111,0.109,0.104,0.112,0.100,0.117,,,0.1076,0.1073,0.104,0.1108,0.11,0.1253,,
1,,0.133,0.142,0.123,0.133,0.120,0.131,,,0.142,0.136,0.116,0.121,0.122,0.134,,,,0.123,0.127,0.130,0.128,0.137,,,0.121,0.130,0.120,0.137,0.124,0.127,,,0.124,0.122,0.114,0.127,0.118,0.126,,,0.122,0.137,0.118,0.122,0.117,0.134,,,0.123,0.123,0.117,0.122,0.120,0.136,,,0.122,0.129,0.121,0.139,0.124,0.131,,,,0.126,0.116,0.114,0.121,0.130,,,0.128,0.128,0.126,0.121,0.122,0.136,,,0.127,0.124,0.119,0.127,0.115,0.133,,,0.1234,0.1218,0.1186,0.1259,0.1251,0.141,,
1.25,,0.155,0.162,0.142,0.154,0.142,0.152,,,0.164,0.157,0.136,0.142,0.143,0.157,,,,0.143,0.146,0.150,0.148,0.158,,,0.142,0.149,0.138,0.156,0.143,0.146,,,0.144,0.142,0.132,0.146,0.137,0.145,,,0.142,0.157,0.136,0.141,0.137,0.154,,,0.143,0.142,0.135,0.141,0.140,0.157,,,0.142,0.149,0.139,0.158,0.143,0.151,,,,0.146,0.133,0.132,0.140,0.150,,,0.146,0.145,0.142,0.139,0.139,0.153,,,0.145,0.141,0.133,0.144,0.131,0.150,,,0.14125,0.13875,0.13545,0.14215,0.14185,0.15765,,
1.5,,0.180,0.188,0.166,0.179,0.166,0.176,,,0.189,0.181,0.159,0.167,0.167,0.182,,,,0.169,0.168,0.174,0.172,0.183,,,0.165,0.171,0.158,0.177,0.165,0.167,,,0.167,0.164,0.151,0.168,0.159,0.168,,,0.165,0.178,0.156,0.162,0.159,0.177,,,0.166,0.164,0.155,0.162,0.162,0.181,,,0.164,0.171,0.159,0.180,0.165,0.174,,,,0.168,0.153,0.153,0.161,0.173,,,0.166,0.165,0.160,0.157,0.159,0.174,,,0.165,0.160,0.151,0.163,0.151,0.169,,,0.16145,0.15795,0.15315,0.16165,0.16155,0.17685,,
1.75,,0.211,0.217,0.193,0.209,0.196,0.206,,,0.218,0.210,0.186,0.197,0.196,0.213,,,,0.198,0.194,0.202,0.200,0.213,,,0.192,0.196,0.182,0.202,0.190,0.193,,,0.194,0.188,0.175,0.193,0.185,0.194,,,0.192,0.203,0.180,0.188,0.184,0.204,,,0.192,0.189,0.179,0.187,0.188,0.209,,,0.191,0.197,0.183,0.205,0.191,0.200,,,,0.194,0.177,0.178,0.186,0.201,,,0.189,0.187,0.181,0.179,0.182,0.197,,,0.188,0.180,0.172,0.185,0.173,0.192,,,0.18505,0.17955,0.17385,0.18375,0.18475,0.19915,,
2,,0.245,0.250,0.225,0.242,0.228,0.240,,,0.252,0.245,0.218,0.231,0.229,0.247,,,,0.233,0.225,0.235,0.233,0.248,,,0.223,0.225,0.210,0.230,0.218,0.223,,,0.225,0.218,0.202,0.223,0.213,0.223,,,0.223,0.233,0.206,0.217,0.213,0.234,,,0.223,0.218,0.205,0.216,0.217,0.242,,,0.223,0.228,0.210,0.234,0.220,0.231,,,,0.224,0.204,0.207,0.213,0.233,,,0.215,0.213,0.205,0.204,0.207,0.223,,,0.213,0.204,0.195,0.209,0.197,0.218,,,0.21155,0.20565,0.19695,0.20915,0.20965,0.22435,,
2.25,,0.283,0.287,0.260,0.280,0.264,0.276,,,0.289,0.283,0.252,0.267,0.264,0.284,,,,0.269,0.258,0.270,0.267,0.284,,,0.256,0.257,0.240,0.261,0.249,0.254,,,0.257,0.250,0.233,0.254,0.243,0.254,,,0.255,0.265,0.237,0.248,0.243,0.265,,,0.256,0.250,0.236,0.246,0.250,0.276,,,0.257,0.261,0.241,0.267,0.252,0.265,,,,0.258,0.234,0.238,0.244,0.267,,,0.245,0.244,0.231,0.232,0.237,0.251,,,0.244,0.235,0.222,0.236,0.225,0.246,,,0.24145,0.23485,0.22405,0.23905,0.23845,0.25325,,
