Time,T600,E6,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
00:00:00,30,0.198,0.192,0.194,0.121,0.194,0.201,0.198,0.199,0.198,0.113,0.199,0.204,0.197,0.187,0.188,0.189,0.184,0.191,0.193,0.189,0.19,0.188,0.186,0.189,0.186,0.191,0.188,0.191,0.19,0.196,0.197,0.188,0.187,0.192,0.195,0.192,0.196,0.197,0.195,0.194,0.195,0.196,0.2,0.191,0.195,0.195,0.194,0.203,0.198,0.191,0.193,0.198,0.192,0.194,0.191,0.195,0.193,0.194,0.194,0.187,0.187,0.19,0.194,0.193,0.196,0.203,0.194,0.197,0.196,0.194,0.193,0.192
00:15:00,30,0.204,0.2,0.202,0.12,0.201,0.209,0.205,0.206,0.205,0.112,0.206,0.21,0.205,0.193,0.194,0.194,0.19,0.195,0.199,0.194,0.195,0.193,0.191,0.194,0.192,0.197,0.194,0.197,0.195,0.202,0.203,0.193,0.193,0.197,0.199,0.197,0.203,0.203,0.201,0.2,0.201,0.202,0.206,0.197,0.201,0.201,0.2,0.209,0.204,0.198,0.199,0.204,0.198,0.2,0.196,0.2,0.198,0.199,0.199,0.193,0.193,0.196,0.2,0.199,0.202,0.209,0.2,0.204,0.202,0.2,0.198,0.2
00:30:00,30,0.215,0.212,0.214,0.119,0.212,0.22,0.218,0.217,0.217,0.112,0.218,0.223,0.218,0.203,0.204,0.204,0.199,0.205,0.209,0.203,0.205,0.203,0.201,0.205,0.202,0.207,0.205,0.207,0.205,0.213,0.212,0.202,0.204,0.207,0.208,0.208,0.213,0.214,0.212,0.211,0.212,0.213,0.218,0.207,0.215,0.212,0.211,0.22,0.216,0.209,0.209,0.215,0.208,0.211,0.206,0.211,0.208,0.21,0.21,0.204,0.205,0.207,0.212,0.21,0.213,0.219,0.21,0.216,0.213,0.211,0.21,0.212
00:45:00,30,0.228,0.226,0.228,0.119,0.226,0.234,0.232,0.23,0.23,0.111,0.231,0.236,0.231,0.215,0.217,0.217,0.212,0.218,0.222,0.215,0.217,0.215,0.213,0.217,0.215,0.22,0.218,0.22,0.217,0.225,0.225,0.214,0.215,0.219,0.22,0.22,0.226,0.228,0.225,0.224,0.224,0.226,0.23,0.218,0.223,0.224,0.223,0.231,0.228,0.222,0.221,0.228,0.221,0.223,0.218,0.223,0.221,0.222,0.222,0.217,0.218,0.22,0.225,0.223,0.227,0.233,0.222,0.226,0.227,0.224,0.223,0.225
01:00:00,30,0.243,0.242,0.245,0.119,0.241,0.249,0.246,0.245,0.246,0.111,0.245,0.25,0.246,0.231,0.232,0.232,0.225,0.232,0.236,0.229,0.232,0.23,0.226,0.231,0.229,0.236,0.233,0.235,0.231,0.239,0.239,0.227,0.23,0.234,0.233,0.234,0.24,0.244,0.241,0.24,0.239,0.241,0.245,0.233,0.238,0.239,0.236,0.245,0.243,0.237,0.236,0.244,0.235,0.237,0.231,0.237,0.235,0.235,0.236,0.231,0.233,0.236,0.241,0.238,0.242,0.248,0.237,0.242,0.242,0.238,0.237,0.24
01:15:00,30,0.26,0.263,0.265,0.119,0.259,0.267,0.265,0.262,0.265,0.111,0.261,0.267,0.262,0.249,0.25,0.25,0.241,0.248,0.252,0.245,0.248,0.246,0.241,0.246,0.244,0.254,0.251,0.253,0.247,0.256,0.257,0.244,0.246,0.25,0.247,0.249,0.255,0.263,0.26,0.259,0.256,0.259,0.262,0.25,0.255,0.255,0.252,0.261,0.258,0.256,0.254,0.263,0.251,0.254,0.248,0.254,0.252,0.25,0.252,0.246,0.252,0.254,0.26,0.254,0.259,0.266,0.254,0.258,0.259,0.253,0.253,0.256
01:30:00,30,0.28,0.286,0.289,0.119,0.279,0.288,0.285,0.282,0.285,0.111,0.279,0.285,0.281,0.269,0.27,0.271,0.26,0.267,0.271,0.262,0.267,0.264,0.257,0.263,0.261,0.275,0.272,0.273,0.265,0.275,0.275,0.261,0.265,0.269,0.263,0.266,0.273,0.285,0.282,0.281,0.276,0.279,0.283,0.268,0.274,0.274,0.269,0.279,0.276,0.277,0.275,0.285,0.27,0.273,0.266,0.272,0.271,0.268,0.269,0.263,0.273,0.276,0.282,0.274,0.279,0.286,0.272,0.278,0.279,0.271,0.271,0.274
01:45:00,30,0.3,0.312,0.317,0.119,0.301,0.311,0.308,0.304,0.308,0.111,0.299,0.306,0.302,0.293,0.294,0.295,0.28,0.288,0.292,0.282,0.287,0.284,0.275,0.281,0.28,0.299,0.296,0.297,0.285,0.295,0.296,0.28,0.285,0.29,0.28,0.285,0.291,0.31,0.307,0.306,0.297,0.301,0.304,0.289,0.296,0.294,0.288,0.298,0.296,0.301,0.298,0.309,0.291,0.293,0.286,0.293,0.292,0.286,0.288,0.283,0.297,0.3,0.306,0.295,0.301,0.307,0.292,0.298,0.301,0.29,0.29,0.294
02:00:00,30,0.325,0.344,0.349,0.119,0.327,0.337,0.334,0.329,0.334,0.111,0.321,0.329,0.325,0.321,0.321,0.323,0.303,0.311,0.316,0.305,0.311,0.307,0.295,0.302,0.301,0.327,0.324,0.324,0.308,0.318,0.319,0.302,0.309,0.314,0.3,0.306,0.312,0.34,0.335,0.335,0.321,0.326,0.33,0.312,0.32,0.318,0.309,0.32,0.318,0.329,0.325,0.338,0.315,0.316,0.309,0.317,0.317,0.307,0.309,0.303,0.326,0.328,0.335,0.319,0.325,0.331,0.316,0.323,0.326,0.311,0.311,0.316
02:15:00,30,0.352,0.38,0.385,0.119,0.355,0.366,0.364,0.358,0.364,0.111,0.346,0.355,0.352,0.352,0.353,0.355,0.328,0.338,0.343,0.33,0.337,0.333,0.316,0.325,0.323,0.359,0.356,0.356,0.333,0.344,0.346,0.327,0.335,0.34,0.322,0.329,0.335,0.374,0.369,0.368,0.347,0.353,0.357,0.339,0.348,0.345,0.332,0.343,0.342,0.36,0.356,0.371,0.34,0.341,0.335,0.343,0.344,0.329,0.332,0.326,0.358,0.36,0.368,0.344,0.351,0.358,0.342,0.351,0.354,0.334,0.335,0.34
02:30:00,30,0.381,0.421,0.426,0.119,0.386,0.399,0.395,0.391,0.399,0.111,0.374,0.385,0.382,0.388,0.389,0.391,0.357,0.367,0.372,0.359,0.367,0.362,0.34,0.349,0.349,0.395,0.393,0.391,0.361,0.372,0.374,0.357,0.365,0.371,0.345,0.355,0.361,0.412,0.406,0.406,0.377,0.384,0.387,0.37,0.379,0.376,0.357,0.369,0.368,0.396,0.391,0.407,0.368,0.369,0.364,0.373,0.374,0.354,0.357,0.35,0.393,0.396,0.405,0.373,0.381,0.388,0.372,0.381,0.386,0.36,0.36,0.365
