Time,T600,D2,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
00:01:02,30,0.171,0.172,0.172,0.105,0.171,0.169,0.18,0.169,0.176,0.112,0.168,0.165,0.169,0.175,0.164,0.167,0.171,0.175,0.171,0.167,0.17,0.167,0.168,0.172,0.172,0.164,0.169,0.165,0.165,0.167,0.168,0.175,0.166,0.17,0.16,0.172,0.166,0.17,0.17,0.169,0.167,0.171,0.173,0.172,0.172,0.17,0.166,0.168,0.166,0.17,0.17,0.165,0.165,0.168,0.167,0.165,0.167,0.17,0.17,0.165,0.173,0.18,0.168,0.168,0.17,0.173,0.167,0.172,0.18,0.171,0.164,0.169
00:16:02,30,0.17,0.172,0.173,0.105,0.171,0.169,0.181,0.169,0.176,0.111,0.169,0.166,0.17,0.172,0.163,0.165,0.169,0.173,0.168,0.166,0.168,0.165,0.166,0.169,0.17,0.163,0.168,0.165,0.164,0.166,0.167,0.174,0.166,0.17,0.159,0.171,0.166,0.169,0.169,0.168,0.167,0.169,0.173,0.171,0.17,0.168,0.165,0.167,0.164,0.167,0.168,0.163,0.163,0.165,0.166,0.164,0.165,0.168,0.169,0.164,0.171,0.178,0.166,0.166,0.168,0.171,0.165,0.171,0.178,0.169,0.163,0.169
00:31:02,30,0.178,0.181,0.182,0.104,0.178,0.177,0.189,0.177,0.184,0.111,0.176,0.174,0.178,0.179,0.17,0.172,0.176,0.18,0.175,0.172,0.174,0.172,0.172,0.175,0.177,0.171,0.174,0.172,0.17,0.173,0.174,0.181,0.173,0.177,0.165,0.177,0.173,0.178,0.176,0.175,0.174,0.176,0.18,0.178,0.177,0.175,0.173,0.175,0.172,0.175,0.175,0.17,0.17,0.172,0.173,0.171,0.172,0.175,0.176,0.172,0.179,0.186,0.173,0.174,0.176,0.179,0.173,0.179,0.186,0.176,0.17,0.176
00:46:02,30,0.188,0.193,0.195,0.104,0.189,0.188,0.2,0.186,0.194,0.111,0.185,0.184,0.188,0.188,0.179,0.18,0.184,0.188,0.183,0.18,0.182,0.18,0.18,0.182,0.186,0.18,0.184,0.181,0.179,0.181,0.183,0.188,0.182,0.186,0.173,0.186,0.182,0.188,0.186,0.184,0.184,0.186,0.188,0.188,0.187,0.184,0.182,0.185,0.182,0.184,0.184,0.179,0.18,0.181,0.181,0.179,0.181,0.183,0.184,0.181,0.19,0.196,0.184,0.183,0.186,0.189,0.181,0.188,0.195,0.185,0.179,0.186
01:01:02,30,0.201,0.205,0.207,0.104,0.201,0.202,0.213,0.199,0.206,0.111,0.197,0.196,0.2,0.199,0.19,0.192,0.195,0.199,0.195,0.19,0.193,0.191,0.19,0.193,0.196,0.193,0.196,0.193,0.191,0.193,0.195,0.199,0.193,0.197,0.184,0.197,0.193,0.201,0.199,0.197,0.196,0.199,0.199,0.199,0.198,0.194,0.194,0.197,0.194,0.197,0.196,0.191,0.191,0.193,0.192,0.191,0.192,0.193,0.196,0.193,0.203,0.209,0.196,0.196,0.199,0.201,0.194,0.2,0.207,0.196,0.192,0.198
01:16:02,30,0.214,0.217,0.22,0.104,0.214,0.215,0.225,0.211,0.218,0.111,0.209,0.208,0.212,0.212,0.203,0.205,0.207,0.211,0.208,0.202,0.205,0.202,0.201,0.204,0.208,0.206,0.209,0.206,0.203,0.205,0.208,0.21,0.205,0.208,0.195,0.209,0.205,0.215,0.212,0.209,0.208,0.211,0.212,0.21,0.21,0.206,0.205,0.208,0.208,0.21,0.209,0.204,0.204,0.206,0.204,0.203,0.204,0.205,0.207,0.205,0.217,0.222,0.21,0.209,0.212,0.215,0.206,0.212,0.219,0.208,0.204,0.21
01:31:02,30,0.229,0.232,0.235,0.104,0.227,0.229,0.239,0.225,0.232,0.111,0.221,0.22,0.224,0.226,0.217,0.219,0.22,0.224,0.22,0.215,0.218,0.215,0.212,0.215,0.219,0.221,0.223,0.22,0.215,0.218,0.221,0.224,0.218,0.222,0.207,0.221,0.217,0.23,0.226,0.222,0.222,0.225,0.226,0.224,0.225,0.218,0.217,0.221,0.223,0.225,0.225,0.216,0.217,0.219,0.217,0.216,0.219,0.217,0.219,0.217,0.232,0.237,0.225,0.222,0.226,0.228,0.22,0.227,0.234,0.221,0.217,0.223
01:46:02,30,0.244,0.248,0.251,0.104,0.242,0.244,0.254,0.239,0.246,0.111,0.233,0.233,0.236,0.242,0.233,0.234,0.233,0.237,0.234,0.229,0.232,0.229,0.223,0.227,0.231,0.237,0.238,0.235,0.229,0.232,0.235,0.237,0.233,0.237,0.219,0.233,0.229,0.246,0.242,0.237,0.236,0.239,0.239,0.239,0.239,0.23,0.231,0.234,0.239,0.24,0.239,0.231,0.231,0.233,0.231,0.231,0.233,0.229,0.232,0.23,0.247,0.252,0.24,0.237,0.24,0.243,0.234,0.241,0.247,0.233,0.23,0.236
02:01:02,30,0.263,0.266,0.27,0.104,0.26,0.261,0.271,0.255,0.262,0.111,0.246,0.247,0.25,0.258,0.25,0.251,0.248,0.253,0.25,0.243,0.246,0.243,0.236,0.239,0.243,0.254,0.257,0.253,0.245,0.248,0.251,0.252,0.247,0.251,0.232,0.246,0.243,0.264,0.26,0.253,0.253,0.255,0.253,0.253,0.253,0.243,0.244,0.247,0.256,0.257,0.258,0.247,0.247,0.249,0.246,0.245,0.247,0.242,0.244,0.243,0.263,0.269,0.257,0.253,0.256,0.259,0.248,0.256,0.261,0.245,0.243,0.249
02:16:02,30,0.284,0.29,0.292,0.104,0.281,0.282,0.291,0.271,0.28,0.11,0.262,0.262,0.265,0.278,0.27,0.272,0.265,0.27,0.269,0.259,0.261,0.259,0.249,0.252,0.257,0.274,0.278,0.275,0.264,0.267,0.269,0.268,0.263,0.267,0.246,0.26,0.256,0.284,0.283,0.273,0.272,0.274,0.269,0.269,0.269,0.257,0.258,0.262,0.276,0.279,0.28,0.265,0.266,0.267,0.261,0.261,0.263,0.256,0.259,0.257,0.285,0.291,0.28,0.272,0.275,0.278,0.266,0.273,0.277,0.26,0.257,0.264
