Time,T600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
00:00:00,29.7,0.179,0.181,0.117,0.175,0.181,0.194,0.179,0.18,0.126,0.181,0.181,0.183,0.18,0.178,0.179,0.183,0.184,0.184,0.185,0.185,0.187,0.181,0.186,0.189,0.18,0.176,0.179,0.177,0.177,0.182,0.182,0.187,0.183,0.178,0.189,0.182,0.176,0.182,0.181,0.178,0.181,0.187,0.184,0.183,0.186,0.185,0.182,0.185,0.184,0.179,0.185,0.179,0.176,0.184,0.184,0.181,0.186,0.182,0.181,0.184,0.176,0.19,0.183,0.182,0.184,0.191,0.183,0.183,0.187,0.188,0.186,0.186
00:15:00,30,0.178,0.179,0.116,0.172,0.179,0.191,0.176,0.178,0.126,0.178,0.178,0.18,0.177,0.174,0.175,0.18,0.18,0.181,0.182,0.181,0.183,0.177,0.182,0.185,0.178,0.173,0.176,0.174,0.174,0.179,0.179,0.183,0.18,0.176,0.184,0.178,0.173,0.179,0.177,0.174,0.178,0.184,0.181,0.18,0.182,0.182,0.179,0.181,0.182,0.176,0.182,0.176,0.173,0.18,0.18,0.177,0.183,0.178,0.177,0.181,0.173,0.186,0.179,0.178,0.18,0.187,0.179,0.179,0.183,0.184,0.182,0.181
00:30:00,30,0.185,0.187,0.116,0.179,0.187,0.199,0.183,0.185,0.125,0.185,0.185,0.187,0.185,0.182,0.183,0.187,0.188,0.189,0.188,0.188,0.19,0.184,0.19,0.193,0.185,0.181,0.184,0.181,0.181,0.186,0.186,0.19,0.186,0.182,0.191,0.186,0.181,0.187,0.185,0.181,0.185,0.191,0.189,0.187,0.19,0.188,0.186,0.189,0.189,0.183,0.189,0.183,0.18,0.187,0.186,0.184,0.189,0.185,0.184,0.189,0.181,0.194,0.187,0.185,0.188,0.195,0.186,0.186,0.19,0.192,0.189,0.189
00:45:00,30,0.195,0.196,0.116,0.188,0.197,0.208,0.192,0.195,0.125,0.194,0.194,0.197,0.194,0.191,0.191,0.195,0.197,0.198,0.197,0.197,0.199,0.193,0.198,0.202,0.194,0.19,0.192,0.189,0.19,0.195,0.193,0.198,0.194,0.19,0.198,0.194,0.191,0.196,0.194,0.19,0.194,0.2,0.197,0.196,0.198,0.196,0.194,0.198,0.197,0.191,0.197,0.19,0.189,0.195,0.194,0.192,0.197,0.192,0.192,0.196,0.19,0.203,0.196,0.194,0.196,0.203,0.195,0.195,0.199,0.2,0.198,0.198
01:00:00,30,0.206,0.208,0.115,0.199,0.208,0.219,0.202,0.206,0.125,0.205,0.205,0.208,0.206,0.203,0.203,0.206,0.208,0.21,0.207,0.208,0.211,0.203,0.21,0.214,0.205,0.201,0.204,0.2,0.201,0.206,0.204,0.209,0.205,0.2,0.209,0.205,0.203,0.208,0.206,0.201,0.206,0.211,0.207,0.207,0.209,0.207,0.205,0.208,0.209,0.202,0.208,0.201,0.199,0.206,0.204,0.202,0.207,0.202,0.202,0.207,0.202,0.215,0.208,0.205,0.208,0.215,0.205,0.206,0.21,0.21,0.209,0.209
01:15:00,30,0.219,0.222,0.115,0.212,0.221,0.232,0.215,0.218,0.125,0.217,0.218,0.221,0.218,0.215,0.216,0.218,0.221,0.223,0.219,0.22,0.223,0.215,0.222,0.226,0.218,0.213,0.217,0.212,0.213,0.218,0.216,0.22,0.217,0.212,0.221,0.218,0.216,0.221,0.219,0.213,0.218,0.224,0.22,0.218,0.221,0.216,0.217,0.221,0.221,0.215,0.221,0.213,0.211,0.218,0.216,0.213,0.219,0.214,0.214,0.219,0.215,0.228,0.221,0.217,0.22,0.227,0.217,0.219,0.222,0.222,0.221,0.222
01:30:00,30,0.235,0.237,0.115,0.225,0.234,0.245,0.229,0.232,0.124,0.23,0.231,0.234,0.233,0.23,0.231,0.232,0.234,0.236,0.233,0.234,0.237,0.227,0.236,0.239,0.233,0.228,0.231,0.225,0.226,0.232,0.229,0.234,0.23,0.224,0.233,0.23,0.231,0.237,0.235,0.227,0.231,0.237,0.234,0.233,0.235,0.23,0.229,0.233,0.236,0.229,0.236,0.225,0.224,0.231,0.228,0.227,0.233,0.226,0.226,0.232,0.23,0.244,0.237,0.23,0.233,0.241,0.231,0.232,0.237,0.235,0.234,0.235
01:45:00,30,0.253,0.256,0.115,0.239,0.249,0.26,0.245,0.248,0.124,0.243,0.244,0.249,0.251,0.248,0.249,0.246,0.249,0.251,0.248,0.25,0.253,0.24,0.25,0.253,0.251,0.245,0.249,0.239,0.24,0.246,0.244,0.249,0.246,0.237,0.245,0.243,0.248,0.255,0.253,0.24,0.246,0.253,0.25,0.248,0.251,0.242,0.242,0.247,0.253,0.246,0.253,0.239,0.238,0.245,0.244,0.242,0.248,0.238,0.24,0.245,0.248,0.261,0.254,0.244,0.248,0.255,0.247,0.248,0.252,0.248,0.248,0.249
02:00:00,30,0.274,0.278,0.115,0.256,0.266,0.277,0.264,0.267,0.124,0.259,0.26,0.265,0.272,0.268,0.27,0.263,0.265,0.269,0.266,0.268,0.271,0.255,0.266,0.269,0.272,0.265,0.27,0.255,0.257,0.263,0.262,0.267,0.263,0.251,0.26,0.258,0.27,0.276,0.274,0.257,0.263,0.27,0.268,0.267,0.269,0.256,0.257,0.262,0.273,0.266,0.274,0.254,0.254,0.261,0.26,0.259,0.265,0.253,0.254,0.26,0.269,0.282,0.275,0.26,0.264,0.272,0.265,0.266,0.27,0.263,0.263,0.264
02:15:00,30,0.299,0.303,0.115,0.275,0.286,0.298,0.285,0.287,0.124,0.277,0.279,0.283,0.297,0.293,0.295,0.282,0.285,0.288,0.285,0.288,0.292,0.272,0.284,0.286,0.296,0.289,0.294,0.274,0.275,0.282,0.282,0.287,0.283,0.267,0.276,0.275,0.294,0.301,0.298,0.275,0.282,0.288,0.288,0.288,0.289,0.271,0.273,0.279,0.297,0.29,0.298,0.272,0.272,0.28,0.28,0.278,0.284,0.268,0.271,0.277,0.293,0.307,0.3,0.278,0.283,0.291,0.284,0.287,0.291,0.279,0.28,0.281
