Time,T600,F12,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11
00:01:02,30,0.166,0.154,0.163,0.117,0.157,0.161,0.161,0.162,0.158,0.116,0.159,0.164,0.166,0.154,0.155,0.157,0.163,0.153,0.16,0.154,0.163,0.164,0.166,0.161,0.162,0.152,0.159,0.164,0.16,0.157,0.155,0.161,0.156,0.162,0.165,0.153,0.163,0.161,0.164,0.162,0.164,0.162,0.167,0.165,0.166,0.169,0.164,0.167,0.162,0.162,0.16,0.156,0.158,0.161,0.158,0.153,0.157,0.162,0.165,0.153,0.158,0.155,0.161,0.161,0.164,0.159,0.168,0.164,0.165,0.17,0.162,0.164
00:16:02,30,0.168,0.157,0.165,0.116,0.16,0.164,0.164,0.164,0.161,0.116,0.161,0.166,0.169,0.158,0.157,0.159,0.165,0.156,0.163,0.156,0.165,0.166,0.168,0.162,0.165,0.154,0.161,0.166,0.162,0.161,0.158,0.162,0.158,0.165,0.166,0.156,0.165,0.163,0.167,0.165,0.166,0.164,0.169,0.168,0.168,0.172,0.166,0.169,0.165,0.164,0.161,0.158,0.159,0.163,0.16,0.156,0.159,0.164,0.166,0.156,0.16,0.158,0.163,0.162,0.166,0.161,0.17,0.166,0.166,0.172,0.165,0.165
00:31:02,30.1,0.173,0.163,0.171,0.116,0.166,0.17,0.17,0.17,0.167,0.116,0.167,0.171,0.175,0.164,0.162,0.164,0.17,0.161,0.168,0.161,0.17,0.171,0.173,0.167,0.172,0.159,0.166,0.171,0.166,0.166,0.163,0.166,0.163,0.169,0.17,0.161,0.17,0.169,0.173,0.172,0.172,0.17,0.175,0.173,0.174,0.177,0.171,0.176,0.171,0.168,0.166,0.162,0.164,0.168,0.165,0.16,0.164,0.168,0.17,0.16,0.165,0.164,0.169,0.169,0.171,0.166,0.176,0.171,0.172,0.177,0.172,0.171
00:46:02,30.1,0.18,0.172,0.179,0.116,0.174,0.178,0.179,0.176,0.174,0.116,0.174,0.178,0.182,0.172,0.17,0.172,0.178,0.169,0.176,0.168,0.176,0.178,0.18,0.174,0.179,0.166,0.174,0.178,0.173,0.173,0.17,0.172,0.17,0.176,0.176,0.168,0.177,0.177,0.181,0.18,0.18,0.178,0.183,0.18,0.182,0.185,0.179,0.183,0.179,0.175,0.174,0.169,0.171,0.174,0.172,0.167,0.17,0.174,0.176,0.167,0.173,0.172,0.177,0.177,0.179,0.174,0.184,0.178,0.179,0.184,0.178,0.178
01:01:02,30,0.189,0.182,0.19,0.116,0.184,0.188,0.189,0.185,0.184,0.116,0.183,0.187,0.192,0.183,0.18,0.182,0.187,0.178,0.185,0.177,0.185,0.187,0.188,0.183,0.188,0.176,0.183,0.188,0.182,0.182,0.179,0.181,0.178,0.184,0.184,0.176,0.186,0.189,0.193,0.192,0.19,0.189,0.194,0.19,0.192,0.194,0.188,0.193,0.189,0.185,0.183,0.179,0.18,0.183,0.181,0.175,0.179,0.183,0.184,0.176,0.182,0.183,0.188,0.187,0.189,0.184,0.194,0.187,0.189,0.193,0.187,0.188
01:16:02,30,0.199,0.194,0.202,0.116,0.194,0.198,0.199,0.196,0.195,0.116,0.193,0.197,0.202,0.194,0.192,0.194,0.197,0.189,0.196,0.187,0.196,0.199,0.198,0.193,0.199,0.188,0.196,0.2,0.192,0.192,0.19,0.191,0.19,0.195,0.193,0.186,0.196,0.201,0.205,0.204,0.201,0.2,0.204,0.201,0.203,0.206,0.199,0.203,0.2,0.197,0.195,0.191,0.19,0.193,0.191,0.186,0.19,0.194,0.194,0.186,0.193,0.196,0.201,0.201,0.2,0.196,0.205,0.199,0.201,0.206,0.198,0.198
01:31:02,30,0.21,0.207,0.215,0.115,0.204,0.209,0.21,0.207,0.207,0.116,0.203,0.207,0.212,0.206,0.204,0.207,0.207,0.199,0.206,0.198,0.207,0.211,0.208,0.203,0.209,0.201,0.208,0.212,0.203,0.203,0.2,0.203,0.201,0.206,0.203,0.196,0.205,0.215,0.219,0.217,0.211,0.211,0.216,0.213,0.216,0.218,0.209,0.213,0.21,0.21,0.208,0.204,0.201,0.203,0.201,0.198,0.201,0.205,0.204,0.196,0.204,0.21,0.214,0.214,0.211,0.207,0.216,0.211,0.212,0.218,0.208,0.208
01:46:02,30,0.221,0.221,0.228,0.115,0.216,0.22,0.222,0.22,0.219,0.115,0.212,0.217,0.223,0.221,0.218,0.221,0.218,0.21,0.217,0.21,0.219,0.224,0.217,0.212,0.219,0.215,0.222,0.226,0.213,0.213,0.211,0.214,0.213,0.218,0.212,0.206,0.215,0.23,0.234,0.233,0.223,0.223,0.228,0.226,0.229,0.231,0.219,0.224,0.221,0.224,0.221,0.218,0.211,0.213,0.212,0.21,0.214,0.218,0.213,0.206,0.214,0.225,0.229,0.229,0.222,0.218,0.228,0.224,0.226,0.231,0.217,0.219
02:01:02,30,0.232,0.236,0.244,0.115,0.23,0.234,0.234,0.232,0.232,0.115,0.224,0.228,0.235,0.236,0.233,0.236,0.229,0.223,0.229,0.224,0.232,0.236,0.228,0.223,0.23,0.23,0.237,0.242,0.225,0.225,0.222,0.227,0.226,0.23,0.222,0.216,0.226,0.247,0.25,0.249,0.236,0.235,0.24,0.239,0.243,0.244,0.23,0.235,0.232,0.239,0.236,0.233,0.223,0.225,0.224,0.222,0.226,0.231,0.224,0.216,0.226,0.241,0.246,0.244,0.234,0.231,0.241,0.238,0.239,0.244,0.229,0.23
02:16:02,30,0.244,0.255,0.263,0.115,0.244,0.248,0.249,0.247,0.247,0.115,0.236,0.241,0.248,0.254,0.251,0.254,0.242,0.236,0.241,0.237,0.247,0.251,0.239,0.234,0.242,0.248,0.253,0.259,0.237,0.238,0.235,0.241,0.24,0.244,0.232,0.227,0.237,0.267,0.27,0.268,0.25,0.25,0.255,0.254,0.257,0.259,0.242,0.247,0.244,0.257,0.254,0.25,0.235,0.238,0.237,0.236,0.239,0.244,0.235,0.228,0.238,0.26,0.264,0.263,0.249,0.245,0.254,0.252,0.254,0.259,0.24,0.242
02:31:02,30,0.258,0.279,0.287,0.115,0.262,0.266,0.267,0.263,0.263,0.115,0.25,0.255,0.262,0.277,0.273,0.275,0.257,0.251,0.257,0.253,0.262,0.267,0.252,0.248,0.256,0.269,0.275,0.28,0.252,0.253,0.25,0.256,0.255,0.259,0.244,0.239,0.25,0.29,0.292,0.292,0.267,0.266,0.271,0.27,0.274,0.275,0.255,0.261,0.259,0.278,0.274,0.271,0.249,0.252,0.252,0.251,0.255,0.26,0.247,0.24,0.251,0.282,0.287,0.285,0.265,0.261,0.27,0.269,0.271,0.275,0.253,0.255
02:46:02,30,0.272,0.306,0.314,0.115,0.282,0.286,0.287,0.282,0.283,0.115,0.265,0.27,0.277,0.302,0.298,0.301,0.273,0.269,0.273,0.271,0.281,0.285,0.266,0.261,0.27,0.294,0.299,0.304,0.267,0.269,0.267,0.273,0.272,0.276,0.257,0.253,0.263,0.317,0.32,0.319,0.284,0.284,0.29,0.289,0.292,0.294,0.269,0.275,0.274,0.303,0.298,0.295,0.265,0.267,0.268,0.268,0.272,0.277,0.26,0.253,0.265,0.308,0.312,0.311,0.281,0.278,0.288,0.287,0.289,0.294,0.267,0.269
03:01:02,30,0.288,0.336,0.345,0.115,0.305,0.309,0.309,0.303,0.304,0.115,0.28,0.285,0.295,0.333,0.329,0.33,0.292,0.288,0.292,0.291,0.301,0.306,0.281,0.276,0.285,0.323,0.328,0.332,0.285,0.286,0.283,0.293,0.292,0.295,0.27,0.267,0.277,0.349,0.351,0.35,0.304,0.304,0.309,0.311,0.314,0.316,0.284,0.29,0.29,0.331,0.326,0.323,0.281,0.285,0.285,0.287,0.292,0.296,0.274,0.267,0.28,0.337,0.342,0.341,0.3,0.297,0.306,0.308,0.31,0.314,0.281,0.284
03:16:02,30,0.305,0.378,0.388,0.115,0.33,0.334,0.335,0.329,0.33,0.115,0.3,0.306,0.315,0.369,0.364,0.366,0.313,0.31,0.314,0.316,0.326,0.332,0.298,0.295,0.304,0.357,0.363,0.367,0.305,0.307,0.305,0.317,0.316,0.32,0.286,0.283,0.295,0.39,0.392,0.391,0.327,0.327,0.333,0.337,0.341,0.342,0.302,0.309,0.309,0.366,0.361,0.357,0.302,0.305,0.306,0.31,0.316,0.32,0.29,0.283,0.297,0.376,0.38,0.378,0.321,0.32,0.329,0.333,0.336,0.34,0.298,0.302
03:31:02,30.1,0.323,0.416,0.428,0.115,0.355,0.359,0.36,0.357,0.359,0.115,0.319,0.323,0.335,0.409,0.404,0.407,0.332,0.33,0.333,0.343,0.354,0.359,0.315,0.311,0.321,0.397,0.403,0.407,0.324,0.325,0.324,0.342,0.342,0.346,0.301,0.298,0.309,0.428,0.431,0.431,0.347,0.348,0.354,0.365,0.369,0.37,0.318,0.326,0.326,0.403,0.398,0.396,0.32,0.324,0.325,0.336,0.341,0.345,0.305,0.299,0.313,0.414,0.419,0.417,0.343,0.342,0.351,0.359,0.363,0.367,0.315,0.321
03:46:02,30,0.341,0.459,0.472,0.115,0.376,0.381,0.381,0.39,0.393,0.115,0.337,0.343,0.353,0.45,0.447,0.449,0.349,0.349,0.351,0.376,0.389,0.396,0.331,0.327,0.337,0.438,0.445,0.449,0.343,0.344,0.343,0.374,0.375,0.378,0.315,0.314,0.325,0.469,0.473,0.475,0.369,0.37,0.377,0.4,0.403,0.407,0.335,0.344,0.343,0.444,0.438,0.436,0.341,0.344,0.346,0.366,0.372,0.377,0.322,0.316,0.332,0.457,0.463,0.462,0.366,0.366,0.375,0.394,0.398,0.402,0.333,0.34
04:01:02,30,0.361,0.505,0.517,0.115,0.395,0.4,0.402,0.427,0.432,0.115,0.354,0.359,0.369,0.494,0.493,0.494,0.364,0.364,0.367,0.413,0.425,0.433,0.344,0.342,0.354,0.481,0.488,0.492,0.359,0.361,0.36,0.408,0.409,0.413,0.329,0.327,0.337,0.512,0.516,0.518,0.388,0.388,0.396,0.436,0.442,0.444,0.352,0.361,0.359,0.487,0.478,0.478,0.362,0.366,0.368,0.399,0.405,0.411,0.34,0.336,0.353,0.498,0.502,0.501,0.389,0.39,0.401,0.428,0.432,0.437,0.354,0.361
04:16:02,30,0.38,0.534,0.548,0.115,0.401,0.407,0.409,0.463,0.468,0.115,0.362,0.367,0.376,0.522,0.526,0.529,0.369,0.369,0.374,0.45,0.462,0.471,0.35,0.349,0.36,0.521,0.529,0.532,0.369,0.371,0.37,0.443,0.445,0.45,0.337,0.335,0.344,0.528,0.536,0.537,0.399,0.402,0.41,0.471,0.479,0.48,0.362,0.371,0.369,0.526,0.517,0.518,0.381,0.387,0.388,0.432,0.438,0.445,0.356,0.352,0.371,0.526,0.533,0.533,0.412,0.413,0.424,0.463,0.467,0.472,0.373,0.38
04:31:02,30,0.398,0.549,0.563,0.115,0.402,0.406,0.409,0.497,0.502,0.115,0.366,0.37,0.38,0.536,0.536,0.538,0.368,0.369,0.374,0.485,0.497,0.508,0.352,0.35,0.362,0.53,0.538,0.544,0.37,0.373,0.373,0.476,0.48,0.485,0.34,0.338,0.347,0.544,0.55,0.552,0.405,0.408,0.416,0.506,0.513,0.515,0.367,0.375,0.374,0.537,0.526,0.53,0.398,0.404,0.406,0.467,0.472,0.479,0.371,0.367,0.387,0.542,0.549,0.549,0.437,0.438,0.449,0.497,0.501,0.506,0.39,0.398
04:46:02,30,0.416,0.568,0.583,0.115,0.394,0.4,0.403,0.534,0.542,0.114,0.363,0.369,0.378,0.555,0.555,0.557,0.361,0.359,0.366,0.523,0.535,0.544,0.348,0.347,0.358,0.548,0.554,0.56,0.367,0.369,0.368,0.511,0.516,0.52,0.337,0.336,0.344,0.565,0.57,0.572,0.405,0.408,0.416,0.538,0.542,0.549,0.369,0.378,0.377,0.553,0.544,0.547,0.417,0.424,0.426,0.501,0.507,0.515,0.387,0.384,0.404,0.563,0.571,0.57,0.454,0.456,0.466,0.532,0.538,0.541,0.408,0.417
05:01:02,30.1,0.433,0.589,0.604,0.114,0.383,0.388,0.392,0.541,0.549,0.114,0.353,0.359,0.368,0.576,0.575,0.577,0.35,0.349,0.356,0.536,0.546,0.555,0.342,0.34,0.351,0.568,0.575,0.581,0.356,0.359,0.36,0.526,0.534,0.54,0.33,0.328,0.337,0.583,0.589,0.59,0.399,0.402,0.409,0.544,0.55,0.554,0.362,0.371,0.369,0.573,0.564,0.567,0.428,0.435,0.437,0.522,0.523,0.534,0.4,0.399,0.42,0.584,0.592,0.591,0.469,0.471,0.482,0.544,0.549,0.552,0.425,0.434
05:16:02,30,0.447,0.608,0.623,0.115,0.366,0.371,0.375,0.557,0.564,0.115,0.341,0.346,0.354,0.594,0.593,0.596,0.338,0.335,0.344,0.553,0.563,0.574,0.327,0.327,0.336,0.587,0.594,0.6,0.344,0.347,0.349,0.539,0.546,0.553,0.323,0.319,0.328,0.6,0.606,0.607,0.387,0.39,0.398,0.561,0.568,0.571,0.357,0.366,0.364,0.591,0.582,0.585,0.441,0.448,0.452,0.533,0.536,0.546,0.415,0.412,0.431,0.604,0.612,0.611,0.484,0.486,0.497,0.562,0.568,0.571,0.438,0.449
