Time,T600,F1,F2,F3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
0:01:02,28.9,0.108,0.112,0.114,0.176,0.177,0.179,0.173,0.177,0.172,0.172,0.17,0.177,0.172,0.172,0.178,0.174,0.176,0.17,0.173,0.176,0.176,0.178,0.172,0.179,0.176,0.174,0.176,0.156,0.153,0.155,0.159,0.156,0.16,0.157,0.159,0.159,0.161,0.155,0.163,0.167,0.167,0.168,0.172,0.172,0.166,0.17,0.17,0.171,0.164,0.169,0.169,0.174,0.177,0.175,0.18,0.18,0.188,0.176,0.181,0.182,0.176,0.175,0.174
0:16:02,30,0.108,0.111,0.113,0.177,0.177,0.179,0.173,0.177,0.173,0.171,0.171,0.178,0.171,0.172,0.177,0.174,0.177,0.171,0.173,0.175,0.175,0.178,0.173,0.179,0.177,0.173,0.178,0.156,0.152,0.155,0.158,0.155,0.158,0.156,0.158,0.158,0.16,0.155,0.162,0.167,0.167,0.168,0.172,0.171,0.166,0.17,0.17,0.17,0.163,0.168,0.169,0.174,0.176,0.174,0.178,0.179,0.184,0.176,0.181,0.182,0.175,0.176,0.175
0:31:02,30.1,0.108,0.111,0.112,0.185,0.185,0.187,0.18,0.184,0.18,0.179,0.179,0.186,0.179,0.179,0.183,0.183,0.185,0.18,0.181,0.183,0.184,0.187,0.181,0.188,0.184,0.18,0.186,0.159,0.156,0.158,0.162,0.159,0.164,0.157,0.159,0.158,0.16,0.156,0.163,0.174,0.175,0.175,0.179,0.178,0.174,0.178,0.177,0.178,0.17,0.175,0.177,0.183,0.185,0.183,0.186,0.187,0.192,0.184,0.189,0.19,0.183,0.184,0.185
0:46:02,30.1,0.108,0.111,0.112,0.195,0.195,0.197,0.189,0.193,0.19,0.187,0.188,0.195,0.188,0.188,0.193,0.193,0.196,0.19,0.19,0.193,0.194,0.196,0.191,0.197,0.193,0.189,0.196,0.165,0.161,0.163,0.167,0.164,0.167,0.159,0.161,0.16,0.162,0.157,0.165,0.184,0.184,0.184,0.189,0.188,0.184,0.187,0.186,0.187,0.178,0.184,0.186,0.194,0.196,0.194,0.196,0.197,0.203,0.194,0.2,0.199,0.193,0.194,0.195
1:01:02,30,0.107,0.111,0.112,0.207,0.207,0.209,0.201,0.204,0.202,0.198,0.199,0.206,0.199,0.199,0.204,0.206,0.208,0.202,0.202,0.206,0.206,0.207,0.203,0.209,0.204,0.2,0.207,0.172,0.168,0.17,0.174,0.172,0.176,0.162,0.164,0.163,0.165,0.161,0.168,0.196,0.195,0.196,0.2,0.199,0.196,0.198,0.197,0.199,0.189,0.195,0.197,0.207,0.209,0.207,0.209,0.211,0.217,0.206,0.212,0.212,0.205,0.206,0.207
1:16:02,30,0.107,0.111,0.112,0.218,0.218,0.22,0.212,0.216,0.213,0.208,0.21,0.217,0.21,0.21,0.214,0.219,0.221,0.215,0.215,0.219,0.219,0.219,0.214,0.221,0.215,0.211,0.22,0.181,0.177,0.18,0.183,0.18,0.183,0.165,0.167,0.167,0.168,0.163,0.171,0.208,0.207,0.209,0.211,0.211,0.208,0.209,0.207,0.21,0.2,0.207,0.21,0.221,0.223,0.22,0.222,0.224,0.23,0.218,0.224,0.225,0.217,0.219,0.22
1:31:02,30,0.107,0.111,0.112,0.231,0.232,0.234,0.225,0.227,0.226,0.221,0.222,0.23,0.221,0.221,0.226,0.234,0.236,0.231,0.228,0.232,0.232,0.231,0.227,0.232,0.225,0.222,0.231,0.191,0.186,0.189,0.192,0.19,0.192,0.169,0.171,0.17,0.171,0.167,0.175,0.222,0.221,0.223,0.224,0.224,0.221,0.22,0.22,0.223,0.211,0.218,0.221,0.238,0.238,0.235,0.235,0.237,0.244,0.232,0.239,0.24,0.229,0.233,0.235
1:46:02,30,0.107,0.11,0.112,0.247,0.247,0.249,0.238,0.241,0.239,0.234,0.235,0.243,0.233,0.233,0.238,0.249,0.252,0.247,0.242,0.246,0.246,0.243,0.238,0.244,0.235,0.232,0.241,0.201,0.196,0.199,0.201,0.2,0.202,0.173,0.175,0.175,0.175,0.171,0.179,0.235,0.235,0.237,0.237,0.237,0.233,0.234,0.233,0.236,0.222,0.229,0.234,0.255,0.253,0.25,0.25,0.251,0.257,0.246,0.254,0.254,0.241,0.246,0.248
2:01:02,30,0.107,0.111,0.112,0.263,0.265,0.266,0.254,0.256,0.255,0.248,0.249,0.257,0.246,0.245,0.25,0.267,0.269,0.264,0.257,0.262,0.263,0.256,0.25,0.256,0.244,0.242,0.252,0.211,0.206,0.209,0.211,0.209,0.212,0.178,0.179,0.179,0.18,0.175,0.184,0.252,0.251,0.253,0.251,0.252,0.248,0.247,0.246,0.25,0.234,0.24,0.246,0.273,0.272,0.269,0.266,0.269,0.274,0.261,0.269,0.268,0.255,0.259,0.263
2:16:02,30,0.107,0.11,0.112,0.284,0.286,0.286,0.273,0.276,0.273,0.264,0.265,0.273,0.259,0.258,0.263,0.287,0.289,0.284,0.276,0.28,0.283,0.268,0.262,0.268,0.252,0.251,0.261,0.222,0.217,0.22,0.221,0.22,0.222,0.182,0.184,0.184,0.184,0.18,0.189,0.273,0.271,0.273,0.269,0.27,0.265,0.262,0.261,0.266,0.246,0.253,0.259,0.294,0.294,0.292,0.286,0.288,0.294,0.278,0.285,0.284,0.269,0.273,0.276
