Time,T600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3
00:01:02,30.1,0.172,0.177,0.178,0.172,0.169,0.177,0.175,0.173,0.178,0.171,0.169,0.177,0.173,0.168,0.174,0.168,0.169,0.168,0.18,0.171,0.175,0.17,0.165,0.166,0.163,0.158,0.157,0.153,0.16,0.158,0.156,0.158,0.163,0.157,0.162,0.153,0.167,0.164,0.175,0.166,0.171,0.174,0.174,0.175,0.169,0.167,0.169,0.166,0.171,0.178,0.174,0.163,0.164,0.173,0.166,0.18,0.178,0.172,0.164,0.169,0.11,0.112,0.112
00:16:02,30.1,0.179,0.183,0.183,0.177,0.176,0.182,0.179,0.179,0.183,0.177,0.174,0.183,0.176,0.171,0.178,0.171,0.174,0.172,0.183,0.173,0.177,0.172,0.169,0.169,0.165,0.16,0.159,0.155,0.161,0.16,0.156,0.158,0.164,0.157,0.163,0.156,0.171,0.168,0.179,0.17,0.174,0.177,0.177,0.176,0.173,0.17,0.174,0.17,0.176,0.182,0.178,0.167,0.169,0.177,0.171,0.184,0.183,0.177,0.169,0.176,0.11,0.112,0.112
00:31:02,30.2,0.189,0.193,0.193,0.186,0.185,0.192,0.188,0.188,0.192,0.186,0.183,0.193,0.184,0.179,0.187,0.179,0.181,0.18,0.19,0.181,0.185,0.18,0.177,0.177,0.169,0.164,0.163,0.16,0.166,0.165,0.158,0.16,0.166,0.159,0.164,0.157,0.178,0.176,0.187,0.178,0.182,0.185,0.185,0.184,0.181,0.178,0.181,0.178,0.186,0.191,0.187,0.176,0.178,0.186,0.18,0.192,0.192,0.185,0.177,0.186,0.11,0.112,0.112
00:46:02,30.4,0.203,0.206,0.206,0.199,0.198,0.204,0.2,0.2,0.204,0.197,0.195,0.205,0.195,0.19,0.198,0.19,0.192,0.191,0.2,0.191,0.196,0.19,0.188,0.188,0.176,0.171,0.17,0.167,0.173,0.171,0.162,0.163,0.169,0.161,0.167,0.161,0.191,0.188,0.198,0.188,0.192,0.196,0.195,0.194,0.192,0.187,0.192,0.189,0.198,0.204,0.2,0.188,0.19,0.198,0.191,0.204,0.204,0.197,0.189,0.201,0.11,0.111,0.112
01:01:02,30.6,0.215,0.218,0.218,0.212,0.211,0.217,0.212,0.212,0.216,0.21,0.208,0.218,0.208,0.203,0.21,0.203,0.205,0.204,0.212,0.203,0.208,0.202,0.2,0.201,0.185,0.181,0.179,0.176,0.182,0.18,0.165,0.167,0.173,0.165,0.171,0.165,0.204,0.201,0.211,0.201,0.205,0.209,0.207,0.207,0.205,0.2,0.204,0.201,0.212,0.217,0.213,0.202,0.205,0.213,0.204,0.217,0.217,0.209,0.202,0.211,0.11,0.111,0.112
01:16:02,30.8,0.229,0.232,0.233,0.226,0.225,0.232,0.227,0.228,0.231,0.223,0.221,0.232,0.223,0.217,0.224,0.216,0.219,0.217,0.224,0.216,0.221,0.215,0.213,0.213,0.197,0.192,0.191,0.186,0.193,0.191,0.17,0.172,0.177,0.169,0.175,0.169,0.219,0.215,0.226,0.214,0.218,0.223,0.22,0.22,0.218,0.212,0.217,0.214,0.231,0.234,0.23,0.217,0.22,0.227,0.22,0.232,0.233,0.223,0.217,0.226,0.11,0.112,0.112
01:31:02,31.1,0.246,0.249,0.25,0.24,0.239,0.247,0.241,0.243,0.246,0.235,0.234,0.247,0.239,0.232,0.239,0.229,0.232,0.23,0.236,0.228,0.233,0.226,0.224,0.226,0.209,0.204,0.202,0.198,0.204,0.202,0.175,0.177,0.182,0.174,0.179,0.174,0.234,0.232,0.241,0.225,0.231,0.235,0.234,0.234,0.232,0.225,0.23,0.228,0.248,0.249,0.246,0.232,0.236,0.242,0.235,0.248,0.249,0.237,0.232,0.241,0.11,0.11,0.112
01:46:02,31.3,0.264,0.267,0.268,0.258,0.257,0.264,0.258,0.259,0.262,0.25,0.248,0.261,0.254,0.249,0.255,0.243,0.247,0.245,0.247,0.24,0.245,0.236,0.235,0.237,0.222,0.215,0.214,0.209,0.215,0.213,0.181,0.183,0.188,0.18,0.185,0.18,0.252,0.248,0.257,0.241,0.246,0.25,0.248,0.248,0.247,0.238,0.243,0.241,0.267,0.267,0.263,0.249,0.253,0.261,0.251,0.264,0.265,0.252,0.247,0.257,0.109,0.111,0.111
02:01:02,31.5,0.286,0.29,0.29,0.279,0.278,0.285,0.277,0.278,0.281,0.267,0.266,0.278,0.274,0.269,0.274,0.261,0.265,0.262,0.259,0.252,0.257,0.246,0.245,0.248,0.235,0.228,0.226,0.221,0.226,0.226,0.187,0.189,0.194,0.185,0.191,0.187,0.272,0.268,0.276,0.258,0.265,0.269,0.265,0.266,0.264,0.253,0.258,0.257,0.289,0.289,0.285,0.27,0.273,0.283,0.272,0.283,0.283,0.268,0.264,0.273,0.109,0.111,0.111
02:16:02,31.7,0.315,0.318,0.319,0.306,0.303,0.311,0.299,0.301,0.305,0.287,0.285,0.299,0.299,0.294,0.297,0.281,0.285,0.284,0.268,0.262,0.267,0.256,0.254,0.257,0.251,0.244,0.242,0.234,0.24,0.24,0.194,0.195,0.2,0.192,0.197,0.194,0.297,0.293,0.3,0.28,0.286,0.29,0.286,0.287,0.285,0.269,0.274,0.274,0.317,0.316,0.312,0.295,0.298,0.308,0.295,0.306,0.307,0.288,0.284,0.294,0.109,0.111,0.111
02:31:02,31.9,0.349,0.352,0.353,0.337,0.334,0.344,0.327,0.329,0.332,0.309,0.307,0.322,0.328,0.323,0.326,0.304,0.308,0.308,0.276,0.271,0.275,0.263,0.262,0.264,0.27,0.262,0.26,0.249,0.255,0.256,0.201,0.203,0.208,0.197,0.203,0.199,0.327,0.322,0.33,0.303,0.31,0.315,0.31,0.313,0.31,0.289,0.293,0.295,0.348,0.349,0.345,0.325,0.329,0.338,0.322,0.334,0.334,0.31,0.306,0.317,0.109,0.111,0.111
02:46:02,32.1,0.387,0.39,0.391,0.371,0.369,0.377,0.358,0.36,0.362,0.333,0.331,0.347,0.359,0.354,0.358,0.329,0.336,0.333,0.281,0.277,0.281,0.264,0.264,0.267,0.292,0.284,0.283,0.267,0.272,0.273,0.208,0.21,0.214,0.2,0.206,0.202,0.361,0.356,0.364,0.329,0.338,0.343,0.339,0.343,0.339,0.309,0.314,0.316,0.387,0.39,0.386,0.359,0.362,0.374,0.355,0.365,0.364,0.334,0.33,0.341,0.109,0.111,0.111
03:01:02,32.3,0.436,0.44,0.44,0.417,0.411,0.421,0.398,0.401,0.404,0.363,0.363,0.381,0.403,0.399,0.402,0.36,0.366,0.367,0.287,0.283,0.287,0.264,0.263,0.266,0.32,0.313,0.312,0.285,0.29,0.292,0.216,0.218,0.222,0.198,0.204,0.199,0.405,0.402,0.41,0.361,0.371,0.375,0.374,0.379,0.374,0.335,0.341,0.344,0.431,0.432,0.427,0.399,0.405,0.415,0.393,0.403,0.404,0.366,0.363,0.375,0.109,0.11,0.111
03:16:02,32.5,0.482,0.487,0.487,0.462,0.459,0.466,0.44,0.445,0.448,0.397,0.396,0.416,0.447,0.445,0.447,0.393,0.4,0.399,0.292,0.289,0.293,0.261,0.26,0.262,0.356,0.35,0.349,0.302,0.307,0.31,0.224,0.227,0.23,0.19,0.195,0.189,0.449,0.451,0.459,0.396,0.407,0.412,0.416,0.422,0.417,0.363,0.37,0.373,0.472,0.473,0.47,0.441,0.445,0.457,0.432,0.443,0.443,0.399,0.398,0.409,0.109,0.111,0.111
03:31:02,32.6,0.532,0.543,0.54,0.514,0.506,0.518,0.489,0.494,0.497,0.438,0.441,0.461,0.497,0.497,0.496,0.432,0.44,0.442,0.298,0.293,0.298,0.256,0.255,0.255,0.391,0.385,0.384,0.312,0.319,0.322,0.234,0.237,0.239,0.177,0.181,0.175,0.5,0.501,0.508,0.434,0.448,0.453,0.463,0.468,0.465,0.398,0.406,0.411,0.521,0.523,0.52,0.484,0.488,0.501,0.474,0.484,0.486,0.433,0.432,0.444,0.109,0.111,0.111
03:46:02,32.7,0.544,0.555,0.553,0.55,0.544,0.554,0.532,0.541,0.544,0.476,0.479,0.498,0.535,0.539,0.541,0.459,0.468,0.473,0.301,0.297,0.301,0.251,0.249,0.25,0.432,0.426,0.427,0.302,0.313,0.314,0.243,0.247,0.248,0.161,0.163,0.157,0.532,0.538,0.547,0.469,0.482,0.489,0.509,0.517,0.514,0.432,0.439,0.444,0.536,0.538,0.535,0.525,0.527,0.542,0.52,0.531,0.532,0.466,0.465,0.478,0.109,0.111,0.111
04:01:02,32.8,0.566,0.575,0.573,0.572,0.562,0.579,0.542,0.548,0.552,0.511,0.514,0.538,0.548,0.554,0.55,0.487,0.497,0.501,0.305,0.301,0.304,0.247,0.244,0.246,0.474,0.469,0.471,0.235,0.251,0.248,0.254,0.258,0.259,0.138,0.139,0.131,0.547,0.555,0.563,0.494,0.51,0.516,0.546,0.554,0.549,0.463,0.47,0.475,0.556,0.557,0.555,0.557,0.563,0.575,0.53,0.54,0.541,0.499,0.502,0.515,0.109,0.11,0.11
04:16:02,32.9,0.583,0.592,0.592,0.551,0.549,0.555,0.558,0.564,0.569,0.527,0.536,0.552,0.568,0.574,0.57,0.496,0.503,0.509,0.309,0.305,0.309,0.242,0.241,0.244,0.516,0.512,0.517,0.153,0.164,0.162,0.265,0.269,0.269,0.118,0.118,0.112,0.568,0.576,0.582,0.503,0.515,0.522,0.559,0.569,0.562,0.485,0.494,0.5,0.573,0.576,0.573,0.561,0.567,0.581,0.548,0.555,0.555,0.536,0.535,0.55,0.109,0.11,0.11
04:31:02,33,0.604,0.614,0.612,0.494,0.492,0.499,0.581,0.586,0.591,0.544,0.548,0.56,0.591,0.6,0.592,0.502,0.512,0.517,0.315,0.311,0.314,0.24,0.238,0.239,0.537,0.534,0.537,0.132,0.14,0.138,0.276,0.28,0.28,0.112,0.114,0.107,0.586,0.598,0.606,0.494,0.503,0.508,0.582,0.592,0.585,0.504,0.512,0.514,0.593,0.594,0.591,0.568,0.576,0.588,0.571,0.576,0.577,0.549,0.547,0.558,0.109,0.11,0.11
04:46:02,33.1,0.621,0.63,0.629,0.448,0.445,0.453,0.6,0.604,0.609,0.52,0.527,0.536,0.608,0.62,0.61,0.49,0.494,0.499,0.319,0.315,0.319,0.236,0.236,0.236,0.553,0.548,0.554,0.124,0.131,0.129,0.287,0.292,0.292,0.111,0.113,0.106,0.603,0.619,0.625,0.453,0.464,0.469,0.604,0.614,0.607,0.511,0.514,0.514,0.607,0.609,0.606,0.563,0.571,0.583,0.589,0.594,0.594,0.558,0.557,0.567,0.109,0.11,0.11
05:01:02,33.1,0.635,0.644,0.643,0.421,0.417,0.428,0.616,0.62,0.625,0.492,0.498,0.51,0.624,0.638,0.626,0.449,0.453,0.458,0.322,0.317,0.321,0.232,0.231,0.234,0.569,0.564,0.572,0.121,0.127,0.124,0.299,0.304,0.303,0.11,0.113,0.106,0.617,0.636,0.644,0.415,0.427,0.432,0.624,0.634,0.626,0.495,0.497,0.498,0.621,0.623,0.621,0.557,0.564,0.575,0.607,0.61,0.609,0.563,0.564,0.574,0.108,0.11,0.111
05:16:02,33.2,0.655,0.664,0.662,0.41,0.407,0.42,0.632,0.636,0.641,0.474,0.48,0.495,0.641,0.659,0.643,0.418,0.424,0.428,0.326,0.322,0.325,0.229,0.227,0.231,0.584,0.58,0.59,0.119,0.124,0.122,0.311,0.317,0.315,0.11,0.113,0.105,0.631,0.657,0.664,0.389,0.401,0.408,0.643,0.655,0.646,0.477,0.478,0.48,0.637,0.637,0.636,0.55,0.559,0.567,0.624,0.626,0.625,0.568,0.568,0.577,0.109,0.11,0.11
05:31:02,33.2,0.67,0.679,0.679,0.402,0.397,0.411,0.647,0.651,0.656,0.461,0.469,0.485,0.656,0.679,0.658,0.396,0.403,0.408,0.331,0.327,0.33,0.226,0.225,0.227,0.595,0.592,0.605,0.117,0.123,0.12,0.322,0.329,0.325,0.11,0.113,0.105,0.647,0.678,0.685,0.37,0.383,0.39,0.66,0.672,0.664,0.455,0.458,0.46,0.651,0.654,0.651,0.542,0.552,0.562,0.639,0.641,0.638,0.569,0.572,0.585,0.108,0.11,0.11
05:46:02,33.3,0.674,0.7,0.698,0.401,0.398,0.413,0.664,0.667,0.673,0.458,0.466,0.483,0.676,0.679,0.678,0.388,0.397,0.399,0.338,0.333,0.336,0.225,0.224,0.225,0.608,0.605,0.623,0.116,0.122,0.12,0.333,0.342,0.337,0.11,0.112,0.105,0.666,0.685,0.695,0.361,0.375,0.384,0.682,0.693,0.685,0.443,0.448,0.448,0.664,0.664,0.663,0.542,0.553,0.561,0.657,0.657,0.656,0.572,0.575,0.589,0.109,0.109,0.11
06:01:02,33.3,0.667,0.685,0.687,0.398,0.396,0.409,0.668,0.683,0.688,0.455,0.462,0.48,0.67,0.672,0.678,0.382,0.39,0.392,0.345,0.34,0.343,0.222,0.221,0.221,0.618,0.615,0.635,0.115,0.121,0.119,0.341,0.351,0.345,0.11,0.112,0.105,0.671,0.679,0.687,0.352,0.366,0.372,0.689,0.7,0.692,0.43,0.436,0.439,0.662,0.661,0.658,0.535,0.546,0.557,0.657,0.665,0.666,0.576,0.58,0.596,0.109,0.11,0.11
06:16:02,33.3,0.67,0.691,0.686,0.399,0.397,0.413,0.664,0.672,0.678,0.456,0.464,0.482,0.669,0.672,0.675,0.381,0.39,0.391,0.352,0.351,0.351,0.218,0.215,0.217,0.629,0.627,0.639,0.115,0.12,0.118,0.347,0.36,0.352,0.11,0.112,0.105,0.669,0.678,0.686,0.347,0.362,0.368,0.685,0.695,0.687,0.427,0.432,0.435,0.663,0.661,0.657,0.53,0.54,0.551,0.653,0.66,0.662,0.577,0.578,0.593,0.108,0.11,0.11
06:31:02,33.4,0.666,0.69,0.688,0.399,0.396,0.412,0.659,0.667,0.674,0.454,0.463,0.481,0.67,0.671,0.675,0.377,0.386,0.389,0.36,0.358,0.357,0.214,0.212,0.214,0.63,0.628,0.63,0.114,0.119,0.117,0.357,0.372,0.362,0.11,0.112,0.105,0.668,0.677,0.684,0.343,0.359,0.364,0.679,0.691,0.681,0.421,0.427,0.432,0.662,0.66,0.656,0.525,0.536,0.546,0.651,0.656,0.657,0.576,0.581,0.595,0.108,0.11,0.11
06:46:02,33.4,0.67,0.696,0.693,0.401,0.399,0.416,0.66,0.667,0.675,0.457,0.468,0.486,0.672,0.678,0.68,0.379,0.387,0.39,0.369,0.366,0.368,0.213,0.212,0.212,0.638,0.631,0.633,0.114,0.119,0.117,0.367,0.385,0.373,0.11,0.112,0.105,0.669,0.684,0.693,0.338,0.356,0.362,0.682,0.691,0.683,0.423,0.427,0.432,0.668,0.664,0.659,0.52,0.534,0.543,0.651,0.657,0.659,0.574,0.577,0.595,0.109,0.109,0.11
07:01:02,33.4,0.663,0.694,0.693,0.401,0.399,0.412,0.656,0.665,0.673,0.457,0.467,0.484,0.673,0.672,0.679,0.377,0.385,0.388,0.377,0.374,0.378,0.21,0.209,0.21,0.641,0.63,0.63,0.114,0.118,0.117,0.371,0.389,0.377,0.109,0.112,0.105,0.669,0.682,0.694,0.336,0.35,0.358,0.678,0.69,0.679,0.417,0.423,0.428,0.67,0.665,0.66,0.521,0.526,0.538,0.649,0.654,0.656,0.58,0.584,0.599,0.108,0.11,0.11
07:16:02,33.4,0.668,0.7,0.697,0.401,0.402,0.418,0.656,0.666,0.675,0.461,0.47,0.489,0.673,0.677,0.684,0.378,0.387,0.39,0.388,0.384,0.386,0.208,0.206,0.207,0.649,0.639,0.631,0.113,0.118,0.116,0.371,0.392,0.378,0.109,0.112,0.105,0.67,0.688,0.704,0.332,0.349,0.353,0.679,0.69,0.68,0.419,0.424,0.43,0.677,0.669,0.661,0.517,0.528,0.538,0.651,0.656,0.66,0.583,0.584,0.6,0.108,0.11,0.109
07:31:02,33.4,0.668,0.701,0.702,0.401,0.401,0.416,0.655,0.668,0.677,0.46,0.472,0.49,0.676,0.679,0.687,0.379,0.386,0.39,0.398,0.395,0.396,0.206,0.205,0.205,0.656,0.645,0.63,0.113,0.118,0.116,0.367,0.39,0.374,0.109,0.112,0.105,0.672,0.691,0.709,0.33,0.344,0.35,0.676,0.687,0.678,0.418,0.423,0.43,0.677,0.669,0.664,0.514,0.531,0.536,0.651,0.657,0.663,0.586,0.593,0.608,0.108,0.109,0.11
07:46:02,33.4,0.67,0.713,0.709,0.402,0.401,0.418,0.655,0.669,0.681,0.462,0.474,0.492,0.675,0.686,0.692,0.38,0.388,0.392,0.408,0.405,0.404,0.204,0.202,0.203,0.667,0.654,0.628,0.113,0.118,0.116,0.362,0.387,0.369,0.109,0.112,0.105,0.677,0.691,0.713,0.327,0.341,0.347,0.678,0.686,0.679,0.418,0.424,0.43,0.677,0.668,0.664,0.514,0.532,0.535,0.651,0.659,0.67,0.592,0.598,0.611,0.108,0.109,0.109
08:01:02,33.4,0.665,0.721,0.717,0.401,0.4,0.415,0.654,0.671,0.682,0.46,0.475,0.491,0.675,0.686,0.697,0.379,0.387,0.39,0.417,0.415,0.414,0.202,0.199,0.201,0.678,0.657,0.625,0.113,0.117,0.116,0.354,0.38,0.36,0.109,0.112,0.105,0.681,0.691,0.709,0.323,0.336,0.341,0.679,0.687,0.679,0.416,0.422,0.429,0.672,0.663,0.662,0.511,0.531,0.535,0.651,0.663,0.674,0.593,0.603,0.621,0.108,0.109,0.109
