Time,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,A8,C8,D8,A9,B9,A10,B10,A11,B11,A12,B12
0,0.0482,0.036,0.0326,0.0355,0.0525,0.035,0.0392,0.0483,0.0416,0.0266,0.0434,0.0496,0.0746,0.0364,0.0447,0.0339,0.0328,0.0352,0.0298,0.0398,0.043,0.0386,0.0448,0.0478,0.0465,0.0334,0.0359,0.0414,0.0385,0.024,0.0434,0.0424,0.0502,0.0277,0.036,0.0425,0.0732,0.027,0.045,0.0346,0.0468,0.0327,0.0405,0.045,0.0306,0.0284,0.0396,0.0441,0.0399,0.0299,0.001,0.0376,-0.001,0.0338,0.0411,0.0265,0.0505,0.038,0.0448,0.0363,0.042,0.0326
0.25,0.04905,0.03655,0.03435,0.03785,0.05545,0.03845,0.04275,0.04965,0.04355,0.02715,0.04515,0.05085,0.07975,0.04015,0.04765,0.03585,0.03515,0.03705,0.03195,0.04185,0.04415,0.03035,0.04605,0.04915,0.04915,0.03495,0.03745,0.04245,0.03975,0.02655,0.04405,0.04405,0.05065,0.02925,0.03635,0.04375,0.07825,0.02885,0.04735,0.03685,0.04885,0.03435,0.04205,0.04595,0.03295,0.02905,0.04325,0.04345,0.04235,0.03135,0.00095,0.04055,-0.00095,0.03305,0.04285,0.02915,0.05295,0.03955,0.04755,0.03715,0.04405,0.03385
0.5,0.05105,0.03805,0.03535,0.03875,0.05545,0.03895,0.04345,0.05105,0.04515,0.02675,0.04485,0.05115,0.08125,0.03975,0.04765,0.03645,0.03775,0.03795,0.03345,0.04245,0.04455,0.03185,0.04675,0.04975,0.05105,0.03615,0.03685,0.04255,0.03925,0.02635,0.04535,0.04475,0.05245,0.02965,0.03715,0.04355,0.08095,0.02885,0.04855,0.03705,0.05075,0.03535,0.04275,0.04635,0.03365,0.02935,0.04265,0.04515,0.04355,0.03125,0.00085,0.04205,-0.00085,0.03325,0.04425,0.02915,0.05465,0.04005,0.04845,0.03645,0.04485,0.03305
0.75,0.05555,0.04085,0.03895,0.04165,0.05975,0.04155,0.04655,0.05485,0.04965,0.02775,0.04765,0.05435,0.08505,0.04165,0.04985,0.03925,0.04135,0.04155,0.03685,0.04535,0.04765,0.03665,0.04875,0.05295,0.05535,0.03895,0.04125,0.04585,0.04345,0.02885,0.04985,0.04855,0.05635,0.03065,0.04045,0.04705,0.08565,0.03175,0.05085,0.04005,0.05445,0.03895,0.04655,0.04985,0.03705,0.03235,0.04585,0.04855,0.04735,0.03255,0.00065,0.04565,-0.00065,0.03665,0.04795,0.02955,0.05815,0.04055,0.05265,0.03955,0.04805,0.03355
1,0.0638,0.0465,0.0458,0.048,0.0673,0.046,0.0529,0.0617,0.0578,0.0312,0.0531,0.0614,0.0969,0.0466,0.0558,0.0456,0.0484,0.0482,0.0421,0.0512,0.0533,0.0389,0.0542,0.0587,0.0627,0.0442,0.0465,0.0511,0.049,0.0326,0.0543,0.0546,0.0645,0.0334,0.0455,0.0529,0.0985,0.0363,0.0568,0.0458,0.0612,0.0445,0.0526,0.0559,0.0432,0.0369,0.0522,0.0557,0.0546,0.0359,0.0004,0.0524,-0.0004,0.0414,0.0551,0.0325,0.0652,0.0436,0.0594,0.0445,0.0553,0.0361
1.25,0.0733,0.0517,0.0532,0.0543,0.0759,0.05,0.0601,0.0696,0.0674,0.0343,0.0591,0.0689,0.1091,0.0511,0.0621,0.0516,0.0565,0.0544,0.0493,0.0578,0.0611,0.0459,0.0607,0.0654,0.0711,0.0479,0.0538,0.057,0.0567,0.0366,0.0624,0.0608,0.073,0.0353,0.0522,0.0596,0.1122,0.0398,0.0634,0.0515,0.0691,0.0494,0.0607,0.0621,0.0502,0.0415,0.0599,0.0625,0.0631,0.0395,0.0003,0.0606,-0.0003,0.0465,0.0638,0.0357,0.0736,0.0465,0.0677,0.0486,0.063,0.0385
1.5,0.08655,0.05905,0.06435,0.06355,0.08835,0.05685,0.07065,0.07925,0.08105,0.03955,0.06865,0.07975,0.12605,0.05845,0.07185,0.06025,0.06865,0.06235,0.05935,0.06715,0.07135,0.05185,0.07105,0.07555,0.08175,0.05145,0.06245,0.06315,0.06545,0.04025,0.07085,0.06945,0.08435,0.03795,0.06025,0.06705,0.12735,0.04415,0.07255,0.05815,0.07835,0.05395,0.07035,0.06895,0.05875,0.04705,0.07045,0.07005,0.07365,0.04565,0.00035,0.07065,-0.00035,0.05345,0.07465,0.04045,0.08315,0.05045,0.07655,0.05305,0.07225,0.04185
1.75,0.10215,0.06965,0.07845,0.07615,0.10265,0.06605,0.08425,0.09295,0.09625,0.04695,0.08135,0.09375,0.14635,0.06835,0.08385,0.07175,0.08205,0.07355,0.07215,0.07925,0.08445,0.05975,0.08375,0.08835,0.09305,0.05605,0.07375,0.06995,0.07685,0.04605,0.08095,0.07795,0.09705,0.04115,0.06985,0.07495,0.14465,0.04985,0.08235,0.06615,0.08925,0.05845,0.08235,0.07645,0.06935,0.05325,0.08225,0.07935,0.08755,0.05365,0.00025,0.08425,-0.00025,0.06425,0.08895,0.04775,0.09485,0.05415,0.08785,0.05805,0.08355,0.04575
2,0.1212,0.0823,0.0948,0.0908,0.1195,0.0782,0.1,0.109,0.1139,0.0564,0.0953,0.1102,0.1689,0.0813,0.0988,0.0859,0.0984,0.0868,0.0866,0.0939,0.0996,0.0698,0.0988,0.1031,0.1081,0.059,0.0862,0.0773,0.0898,0.0519,0.0934,0.0889,0.1122,0.0433,0.0807,0.0836,0.1646,0.0556,0.0961,0.0763,0.1025,0.0614,0.0955,0.0839,0.0811,0.0589,0.0961,0.0911,0.1042,0.0653,0.0004,0.1004,-0.0004,0.0781,0.1058,0.0575,0.1087,0.0583,0.1016,0.0632,0.0976,0.0491
2.25,0.14135,0.09575,0.11335,0.10695,0.13765,0.09035,0.11735,0.12635,0.13435,0.06775,0.11225,0.12775,0.19585,0.09415,0.11605,0.10135,0.11735,0.10055,0.10485,0.11005,0.11735,0.08135,0.11615,0.11995,0.12315,0.05875,0.10105,0.08345,0.10485,0.05095,0.10755,0.09995,0.12755,0.04385,0.09445,0.09115,0.18655,0.05515,0.10915,0.08725,0.11605,0.05925,0.11135,0.09095,0.09415,0.05715,0.11075,0.10365,0.12275,0.07715,0.00025,0.11835,-0.00025,0.09165,0.12485,0.06875,0.12335,0.05965,0.11625,0.06515,0.11225,0.05025
