Time,T600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:01:02,30,0.154,0.164,0.1,0.16,0.157,0.159,0.158,0.162,0.108,0.159,0.159,0.162,0.161,0.161,0.156,0.162,0.171,0.164,0.153,0.162,0.157,0.162,0.168,0.167,0.159,0.164,0.161,0.168,0.16,0.164,0.159,0.159,0.161,0.158,0.16,0.156,0.159,0.159,0.158,0.164,0.161,0.168,0.166,0.158,0.164,0.161,0.16,0.161,0.161,0.17,0.166,0.164,0.167,0.165,0.166,0.167,0.162,0.16,0.157,0.171,0.156,0.16,0.16,0.16,0.161,0.163,0.159,0.161,0.161,0.166,0.164,0.162,0.157,0.156,0.156,0.161,0.161,0.157,0.16,0.152,0.154,0.158,0.151,0.159,0.149,0.151,0.155,0.158,0.152,0.155,0.152,0.152,0.159,0.151,0.163,0.154
00:16:02,30,0.16,0.169,0.1,0.166,0.162,0.164,0.163,0.167,0.107,0.164,0.165,0.167,0.165,0.164,0.159,0.166,0.173,0.168,0.157,0.165,0.16,0.167,0.17,0.171,0.163,0.169,0.166,0.172,0.165,0.169,0.164,0.165,0.166,0.163,0.165,0.162,0.164,0.164,0.164,0.169,0.167,0.172,0.17,0.163,0.169,0.165,0.164,0.167,0.167,0.174,0.17,0.169,0.172,0.169,0.171,0.172,0.167,0.165,0.163,0.175,0.158,0.163,0.162,0.162,0.165,0.165,0.162,0.163,0.163,0.169,0.167,0.164,0.162,0.161,0.161,0.166,0.165,0.162,0.165,0.157,0.159,0.163,0.157,0.164,0.152,0.154,0.158,0.16,0.155,0.159,0.155,0.154,0.162,0.154,0.163,0.156
00:31:02,30.1,0.17,0.178,0.1,0.174,0.171,0.172,0.17,0.174,0.107,0.171,0.172,0.175,0.168,0.168,0.163,0.169,0.177,0.171,0.159,0.167,0.163,0.167,0.172,0.174,0.171,0.176,0.174,0.179,0.173,0.176,0.171,0.171,0.172,0.17,0.172,0.17,0.173,0.171,0.171,0.176,0.175,0.179,0.177,0.17,0.175,0.172,0.171,0.175,0.175,0.182,0.177,0.176,0.18,0.176,0.178,0.179,0.174,0.172,0.169,0.182,0.161,0.164,0.163,0.164,0.167,0.167,0.164,0.165,0.165,0.17,0.169,0.167,0.169,0.168,0.168,0.172,0.172,0.168,0.171,0.163,0.165,0.169,0.164,0.17,0.156,0.158,0.161,0.163,0.158,0.162,0.157,0.158,0.164,0.156,0.165,0.159
00:46:02,30,0.181,0.19,0.1,0.185,0.182,0.183,0.179,0.184,0.107,0.18,0.181,0.184,0.173,0.172,0.167,0.173,0.181,0.175,0.161,0.169,0.165,0.169,0.173,0.176,0.182,0.186,0.184,0.189,0.183,0.186,0.181,0.18,0.181,0.178,0.181,0.179,0.182,0.182,0.18,0.186,0.186,0.19,0.185,0.179,0.184,0.18,0.18,0.184,0.184,0.193,0.187,0.185,0.19,0.186,0.186,0.188,0.183,0.18,0.178,0.19,0.162,0.168,0.165,0.166,0.169,0.169,0.166,0.167,0.166,0.172,0.17,0.168,0.177,0.177,0.177,0.181,0.181,0.178,0.179,0.171,0.174,0.177,0.172,0.179,0.159,0.161,0.164,0.166,0.162,0.165,0.159,0.159,0.166,0.158,0.167,0.161
01:01:02,30,0.192,0.202,0.1,0.197,0.195,0.196,0.19,0.194,0.107,0.19,0.191,0.195,0.179,0.177,0.173,0.178,0.186,0.18,0.163,0.171,0.167,0.171,0.175,0.179,0.195,0.2,0.197,0.201,0.195,0.199,0.191,0.191,0.192,0.188,0.191,0.189,0.196,0.195,0.193,0.198,0.198,0.201,0.195,0.19,0.195,0.19,0.191,0.195,0.197,0.205,0.2,0.197,0.202,0.199,0.196,0.198,0.193,0.19,0.188,0.2,0.165,0.169,0.167,0.168,0.171,0.171,0.168,0.168,0.168,0.173,0.171,0.17,0.189,0.189,0.189,0.193,0.193,0.189,0.189,0.181,0.184,0.187,0.182,0.189,0.162,0.164,0.168,0.169,0.165,0.168,0.161,0.161,0.168,0.16,0.168,0.162
01:16:02,30,0.206,0.216,0.1,0.209,0.207,0.208,0.203,0.207,0.107,0.201,0.203,0.206,0.186,0.184,0.18,0.184,0.192,0.186,0.165,0.173,0.169,0.172,0.176,0.18,0.21,0.214,0.211,0.213,0.208,0.211,0.203,0.203,0.205,0.199,0.203,0.201,0.21,0.209,0.206,0.211,0.211,0.214,0.208,0.203,0.208,0.201,0.202,0.206,0.212,0.22,0.214,0.209,0.215,0.211,0.208,0.211,0.206,0.2,0.199,0.211,0.167,0.171,0.169,0.169,0.172,0.173,0.169,0.17,0.169,0.174,0.173,0.172,0.204,0.203,0.201,0.205,0.204,0.202,0.2,0.193,0.196,0.198,0.194,0.2,0.166,0.168,0.171,0.172,0.167,0.17,0.162,0.163,0.169,0.161,0.17,0.164
01:31:02,30,0.221,0.231,0.1,0.223,0.221,0.222,0.215,0.219,0.107,0.212,0.213,0.217,0.195,0.193,0.189,0.191,0.198,0.193,0.167,0.175,0.17,0.174,0.177,0.181,0.224,0.229,0.226,0.227,0.222,0.226,0.216,0.216,0.218,0.21,0.213,0.212,0.225,0.225,0.22,0.224,0.224,0.228,0.22,0.215,0.22,0.212,0.213,0.218,0.227,0.235,0.229,0.223,0.228,0.224,0.22,0.224,0.218,0.211,0.21,0.221,0.169,0.173,0.171,0.171,0.174,0.175,0.171,0.171,0.171,0.176,0.174,0.173,0.217,0.216,0.215,0.217,0.217,0.214,0.213,0.205,0.209,0.208,0.205,0.211,0.169,0.17,0.174,0.174,0.17,0.174,0.163,0.163,0.17,0.162,0.171,0.165
01:46:02,30,0.237,0.246,0.1,0.239,0.237,0.238,0.228,0.232,0.107,0.225,0.225,0.229,0.204,0.202,0.198,0.199,0.206,0.201,0.168,0.176,0.172,0.175,0.179,0.183,0.241,0.245,0.243,0.241,0.237,0.24,0.229,0.229,0.232,0.222,0.225,0.224,0.241,0.24,0.238,0.239,0.24,0.243,0.233,0.229,0.234,0.225,0.225,0.23,0.242,0.252,0.245,0.238,0.243,0.24,0.233,0.237,0.232,0.222,0.222,0.233,0.171,0.175,0.173,0.172,0.176,0.177,0.172,0.173,0.172,0.177,0.176,0.175,0.232,0.23,0.229,0.231,0.23,0.228,0.225,0.218,0.222,0.219,0.216,0.223,0.171,0.173,0.176,0.177,0.173,0.177,0.164,0.164,0.172,0.163,0.172,0.166
02:01:02,30,0.256,0.266,0.1,0.257,0.255,0.256,0.242,0.247,0.107,0.237,0.237,0.241,0.214,0.212,0.208,0.206,0.214,0.209,0.17,0.178,0.173,0.176,0.18,0.184,0.259,0.264,0.263,0.258,0.254,0.258,0.243,0.242,0.245,0.234,0.237,0.235,0.261,0.259,0.257,0.256,0.257,0.26,0.247,0.242,0.246,0.236,0.238,0.241,0.261,0.271,0.266,0.255,0.26,0.257,0.247,0.25,0.245,0.234,0.234,0.245,0.173,0.177,0.175,0.174,0.178,0.179,0.173,0.174,0.173,0.178,0.177,0.176,0.249,0.246,0.246,0.247,0.245,0.244,0.238,0.232,0.235,0.232,0.228,0.234,0.174,0.176,0.179,0.179,0.175,0.179,0.165,0.166,0.173,0.164,0.173,0.167
02:16:02,30,0.281,0.289,0.1,0.278,0.276,0.276,0.259,0.262,0.107,0.25,0.25,0.255,0.225,0.223,0.219,0.215,0.223,0.217,0.172,0.179,0.175,0.178,0.182,0.186,0.282,0.288,0.287,0.278,0.274,0.278,0.259,0.257,0.26,0.246,0.251,0.249,0.283,0.281,0.279,0.275,0.276,0.28,0.262,0.257,0.261,0.25,0.252,0.255,0.284,0.295,0.29,0.275,0.281,0.276,0.263,0.267,0.261,0.248,0.247,0.258,0.176,0.179,0.178,0.176,0.18,0.181,0.175,0.176,0.175,0.18,0.178,0.178,0.268,0.267,0.267,0.265,0.263,0.263,0.253,0.247,0.249,0.244,0.24,0.247,0.177,0.18,0.183,0.182,0.177,0.181,0.167,0.167,0.174,0.165,0.173,0.168
