Time,T600,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
0:01:02,30,0.197,0.2,0.209,0.166,0.205,0.175,0.211,0.18,0.207,0.197,0.204,0.17,0.201,0.173,0.211,0.192,0.118,0.196,0.205,0.172,0.207,0.174,0.214,0.189,0.204,0.2,0.209,0.18,0.21,0.175,0.212,0.19,0.202,0.198,0.215,0.174,0.213,0.172,0.212,0.195,0.2,0.198,0.213,0.177,0.213,0.172,0.209,0.199,0.198,0.2,0.211,0.175,0.213,0.175,0.208,0.189,0.2,0.201,0.208,0.174,0.207,0.177,0.209,0.187,0.113,0.199,0.206,0.173,0.209,0.181,0.208,0.189,0.201,0.199,0.203,0.177,0.203,0.179,0.212,0.199,0.199,0.199,0.205,0.177,0.208,0.176,0.208,0.192,0.205,0.195,0.211,0.173,0.212,0.174,0.208,0.188
0:16:02,37,0.209,0.201,0.221,0.167,0.217,0.175,0.223,0.189,0.217,0.199,0.215,0.17,0.21,0.173,0.221,0.2,0.118,0.197,0.217,0.172,0.217,0.174,0.225,0.197,0.215,0.202,0.221,0.179,0.221,0.174,0.222,0.198,0.214,0.202,0.226,0.175,0.224,0.173,0.223,0.203,0.212,0.199,0.224,0.177,0.224,0.172,0.22,0.207,0.208,0.201,0.222,0.175,0.223,0.175,0.219,0.197,0.21,0.201,0.219,0.174,0.217,0.177,0.22,0.196,0.112,0.201,0.215,0.175,0.218,0.18,0.219,0.199,0.211,0.201,0.214,0.178,0.213,0.179,0.223,0.208,0.209,0.2,0.216,0.177,0.218,0.176,0.221,0.202,0.217,0.196,0.221,0.175,0.224,0.174,0.219,0.197
0:31:02,37,0.228,0.209,0.239,0.169,0.236,0.177,0.242,0.205,0.235,0.206,0.234,0.172,0.227,0.174,0.24,0.216,0.117,0.203,0.236,0.173,0.233,0.176,0.242,0.212,0.234,0.207,0.239,0.18,0.237,0.175,0.24,0.214,0.234,0.206,0.244,0.176,0.241,0.174,0.241,0.22,0.231,0.205,0.242,0.179,0.241,0.173,0.238,0.223,0.226,0.204,0.239,0.176,0.24,0.177,0.236,0.213,0.228,0.204,0.236,0.175,0.234,0.177,0.237,0.211,0.112,0.204,0.232,0.176,0.235,0.182,0.237,0.214,0.23,0.203,0.231,0.18,0.23,0.18,0.24,0.224,0.227,0.204,0.233,0.178,0.234,0.178,0.239,0.217,0.235,0.202,0.238,0.177,0.243,0.176,0.238,0.213
0:46:02,37,0.252,0.222,0.264,0.171,0.261,0.179,0.268,0.224,0.259,0.218,0.258,0.174,0.251,0.176,0.266,0.235,0.116,0.214,0.26,0.175,0.258,0.178,0.268,0.231,0.259,0.218,0.264,0.181,0.261,0.177,0.264,0.231,0.257,0.217,0.268,0.178,0.265,0.176,0.265,0.237,0.255,0.216,0.267,0.18,0.266,0.175,0.263,0.241,0.248,0.207,0.262,0.178,0.262,0.179,0.26,0.23,0.25,0.208,0.259,0.177,0.256,0.179,0.261,0.229,0.113,0.207,0.256,0.177,0.259,0.184,0.261,0.232,0.251,0.206,0.253,0.181,0.251,0.182,0.262,0.241,0.247,0.206,0.255,0.18,0.255,0.18,0.262,0.234,0.257,0.205,0.261,0.179,0.266,0.178,0.262,0.229
1:01:02,37,0.283,0.238,0.295,0.172,0.292,0.181,0.3,0.247,0.29,0.234,0.29,0.175,0.281,0.178,0.3,0.259,0.116,0.23,0.291,0.177,0.289,0.18,0.3,0.253,0.288,0.232,0.296,0.183,0.289,0.179,0.292,0.253,0.288,0.232,0.3,0.18,0.294,0.177,0.294,0.259,0.284,0.231,0.297,0.182,0.295,0.177,0.292,0.263,0.275,0.21,0.29,0.179,0.29,0.18,0.288,0.251,0.279,0.211,0.287,0.178,0.284,0.18,0.289,0.251,0.113,0.21,0.283,0.178,0.287,0.185,0.288,0.254,0.276,0.209,0.278,0.182,0.277,0.183,0.288,0.261,0.272,0.209,0.281,0.181,0.279,0.182,0.289,0.254,0.282,0.208,0.288,0.18,0.292,0.179,0.289,0.248
1:16:02,37,0.323,0.26,0.336,0.175,0.335,0.183,0.34,0.275,0.33,0.255,0.329,0.178,0.32,0.18,0.341,0.289,0.115,0.252,0.332,0.179,0.328,0.182,0.341,0.282,0.327,0.251,0.333,0.184,0.325,0.18,0.329,0.277,0.326,0.25,0.338,0.182,0.331,0.179,0.33,0.285,0.323,0.249,0.335,0.184,0.333,0.179,0.329,0.289,0.309,0.214,0.324,0.18,0.325,0.182,0.323,0.277,0.313,0.215,0.321,0.179,0.318,0.181,0.323,0.277,0.113,0.214,0.317,0.179,0.322,0.187,0.323,0.28,0.307,0.213,0.309,0.183,0.307,0.185,0.32,0.285,0.301,0.213,0.312,0.182,0.31,0.183,0.321,0.277,0.313,0.212,0.32,0.181,0.323,0.18,0.322,0.27
1:31:02,37,0.372,0.287,0.386,0.177,0.385,0.186,0.387,0.31,0.38,0.281,0.378,0.181,0.368,0.183,0.39,0.326,0.115,0.278,0.379,0.182,0.376,0.185,0.388,0.315,0.376,0.273,0.377,0.187,0.367,0.183,0.373,0.308,0.372,0.272,0.383,0.184,0.373,0.182,0.374,0.316,0.369,0.272,0.38,0.187,0.377,0.183,0.374,0.32,0.349,0.218,0.365,0.182,0.365,0.183,0.361,0.307,0.351,0.219,0.36,0.18,0.358,0.183,0.363,0.308,0.113,0.218,0.356,0.18,0.363,0.188,0.361,0.312,0.343,0.217,0.345,0.184,0.343,0.186,0.356,0.312,0.337,0.217,0.349,0.183,0.347,0.184,0.359,0.303,0.349,0.217,0.358,0.183,0.36,0.181,0.355,0.296
1:46:02,37,0.424,0.321,0.44,0.181,0.436,0.19,0.442,0.351,0.433,0.313,0.433,0.184,0.417,0.187,0.441,0.368,0.115,0.312,0.434,0.185,0.427,0.189,0.44,0.355,0.426,0.3,0.431,0.19,0.414,0.186,0.421,0.342,0.422,0.299,0.438,0.188,0.422,0.186,0.42,0.351,0.418,0.3,0.431,0.189,0.426,0.185,0.421,0.358,0.396,0.222,0.414,0.183,0.411,0.185,0.408,0.343,0.397,0.223,0.408,0.182,0.404,0.185,0.409,0.344,0.112,0.222,0.404,0.181,0.41,0.189,0.407,0.347,0.387,0.222,0.387,0.185,0.386,0.186,0.395,0.343,0.38,0.221,0.392,0.184,0.389,0.185,0.397,0.334,0.392,0.222,0.398,0.184,0.403,0.182,0.396,0.325
2:01:02,36.9,0.482,0.363,0.495,0.185,0.495,0.194,0.495,0.4,0.49,0.353,0.489,0.188,0.471,0.192,0.499,0.418,0.115,0.353,0.489,0.189,0.484,0.194,0.497,0.403,0.485,0.331,0.481,0.193,0.46,0.19,0.462,0.374,0.48,0.33,0.488,0.191,0.467,0.19,0.463,0.392,0.475,0.332,0.486,0.192,0.468,0.189,0.467,0.398,0.447,0.226,0.465,0.184,0.461,0.186,0.459,0.386,0.447,0.227,0.458,0.183,0.453,0.185,0.459,0.383,0.112,0.226,0.455,0.183,0.46,0.191,0.456,0.391,0.43,0.226,0.431,0.186,0.428,0.188,0.436,0.372,0.421,0.226,0.436,0.185,0.43,0.186,0.438,0.368,0.434,0.226,0.437,0.185,0.441,0.183,0.436,0.356
2:16:02,37,0.544,0.412,0.538,0.19,0.553,0.2,0.555,0.451,0.555,0.401,0.535,0.193,0.535,0.198,0.559,0.473,0.115,0.401,0.538,0.194,0.551,0.199,0.559,0.454,0.544,0.368,0.535,0.198,0.504,0.195,0.514,0.412,0.539,0.367,0.545,0.196,0.513,0.194,0.514,0.431,0.533,0.368,0.543,0.197,0.518,0.195,0.517,0.438,0.506,0.23,0.521,0.185,0.519,0.187,0.516,0.432,0.501,0.231,0.514,0.184,0.51,0.186,0.517,0.427,0.112,0.23,0.51,0.184,0.518,0.192,0.514,0.437,0.478,0.231,0.478,0.187,0.469,0.189,0.48,0.408,0.467,0.231,0.484,0.185,0.47,0.187,0.482,0.403,0.479,0.231,0.477,0.186,0.479,0.184,0.481,0.388
