Time,T600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
00:00:00,23.1,0.184,0.18,0.119,0.177,0.188,0.193,0.179,0.191,0.125,0.19,0.185,0.191,0.153,0.151,0.155,0.158,0.159,0.166,0.157,0.159,0.159,0.158,0.16,0.161,0.18,0.178,0.178,0.182,0.186,0.184,0.184,0.19,0.186,0.183,0.183,0.181,0.158,0.156,0.156,0.157,0.157,0.16,0.159,0.162,0.154,0.158,0.158,0.154,0.175,0.177,0.18,0.18,0.182,0.181,0.185,0.182,0.183,0.181,0.178,0.182,0.171,0.176,0.175,0.175,0.181,0.181,0.179,0.177,0.182,0.173,0.183,0.176,0.178,0.179,0.183,0.175,0.182,0.179,0.184,0.183,0.18,0.18,0.182,0.18,0.175,0.172,0.183,0.171,0.171,0.173,0.173,0.175,0.183,0.178,0.175,0.172
00:15:00,30,0.187,0.183,0.121,0.181,0.184,0.191,0.182,0.19,0.126,0.186,0.188,0.188,0.153,0.151,0.154,0.157,0.158,0.166,0.154,0.159,0.159,0.158,0.16,0.161,0.184,0.181,0.182,0.186,0.191,0.189,0.188,0.192,0.19,0.187,0.187,0.185,0.158,0.155,0.155,0.156,0.157,0.159,0.158,0.16,0.153,0.157,0.155,0.154,0.176,0.179,0.183,0.182,0.184,0.183,0.186,0.184,0.184,0.181,0.178,0.183,0.174,0.179,0.178,0.178,0.183,0.184,0.182,0.179,0.186,0.176,0.186,0.179,0.178,0.179,0.183,0.174,0.182,0.179,0.185,0.182,0.18,0.18,0.182,0.18,0.175,0.172,0.18,0.169,0.173,0.173,0.174,0.177,0.175,0.179,0.173,0.173
00:30:00,30,0.194,0.191,0.12,0.188,0.191,0.198,0.188,0.196,0.124,0.192,0.195,0.195,0.154,0.152,0.156,0.157,0.159,0.166,0.154,0.16,0.159,0.157,0.159,0.16,0.191,0.188,0.188,0.192,0.197,0.195,0.194,0.197,0.196,0.193,0.193,0.193,0.158,0.156,0.156,0.157,0.158,0.16,0.157,0.159,0.153,0.157,0.155,0.155,0.179,0.181,0.185,0.185,0.186,0.185,0.187,0.185,0.185,0.183,0.18,0.185,0.18,0.185,0.183,0.185,0.189,0.19,0.187,0.184,0.191,0.182,0.192,0.185,0.181,0.181,0.185,0.176,0.183,0.18,0.186,0.183,0.18,0.181,0.184,0.181,0.179,0.177,0.185,0.174,0.177,0.177,0.178,0.181,0.18,0.181,0.178,0.178
00:45:00,30,0.204,0.201,0.118,0.198,0.201,0.207,0.197,0.206,0.123,0.2,0.204,0.205,0.156,0.154,0.157,0.159,0.161,0.167,0.154,0.16,0.159,0.157,0.159,0.161,0.2,0.197,0.197,0.2,0.206,0.205,0.202,0.206,0.206,0.201,0.203,0.203,0.16,0.158,0.157,0.158,0.16,0.162,0.158,0.159,0.153,0.157,0.156,0.155,0.182,0.185,0.188,0.188,0.189,0.189,0.189,0.187,0.187,0.185,0.181,0.186,0.189,0.193,0.192,0.192,0.197,0.198,0.195,0.192,0.199,0.19,0.2,0.193,0.183,0.183,0.187,0.184,0.186,0.182,0.187,0.185,0.181,0.182,0.185,0.182,0.185,0.184,0.192,0.18,0.184,0.184,0.186,0.187,0.186,0.188,0.184,0.184
01:00:00,29.9,0.216,0.213,0.118,0.21,0.213,0.22,0.209,0.218,0.124,0.212,0.216,0.217,0.159,0.157,0.16,0.162,0.164,0.17,0.156,0.161,0.161,0.159,0.161,0.162,0.212,0.209,0.209,0.212,0.218,0.217,0.214,0.217,0.217,0.213,0.215,0.217,0.163,0.161,0.161,0.162,0.163,0.164,0.158,0.16,0.155,0.158,0.155,0.156,0.188,0.191,0.194,0.192,0.194,0.194,0.19,0.189,0.189,0.187,0.183,0.188,0.2,0.205,0.203,0.203,0.209,0.209,0.205,0.203,0.21,0.2,0.21,0.204,0.187,0.187,0.192,0.182,0.19,0.186,0.189,0.187,0.184,0.184,0.187,0.184,0.194,0.193,0.201,0.189,0.193,0.192,0.192,0.196,0.194,0.196,0.192,0.193
01:15:00,30,0.229,0.226,0.117,0.221,0.225,0.232,0.221,0.229,0.123,0.223,0.227,0.228,0.161,0.16,0.163,0.165,0.166,0.173,0.156,0.162,0.161,0.159,0.161,0.164,0.225,0.221,0.221,0.224,0.23,0.229,0.225,0.228,0.228,0.224,0.225,0.228,0.166,0.164,0.163,0.164,0.165,0.167,0.159,0.161,0.155,0.159,0.157,0.157,0.194,0.196,0.199,0.198,0.199,0.198,0.191,0.19,0.19,0.188,0.184,0.189,0.212,0.217,0.215,0.214,0.22,0.221,0.216,0.214,0.221,0.21,0.221,0.215,0.191,0.191,0.196,0.185,0.194,0.191,0.19,0.188,0.185,0.185,0.188,0.185,0.205,0.204,0.212,0.199,0.203,0.202,0.202,0.206,0.205,0.205,0.201,0.203
01:30:00,30,0.244,0.242,0.118,0.235,0.239,0.245,0.235,0.244,0.123,0.235,0.24,0.24,0.166,0.164,0.167,0.169,0.171,0.177,0.158,0.163,0.162,0.16,0.163,0.164,0.239,0.236,0.236,0.236,0.242,0.241,0.238,0.242,0.242,0.235,0.237,0.239,0.17,0.168,0.167,0.168,0.169,0.171,0.16,0.162,0.156,0.161,0.155,0.158,0.202,0.205,0.207,0.205,0.206,0.205,0.193,0.191,0.192,0.189,0.186,0.191,0.226,0.231,0.23,0.226,0.232,0.233,0.229,0.227,0.234,0.222,0.233,0.227,0.196,0.197,0.201,0.195,0.199,0.196,0.191,0.189,0.186,0.186,0.19,0.187,0.217,0.216,0.225,0.209,0.214,0.212,0.214,0.217,0.216,0.215,0.213,0.213
01:45:00,30,0.263,0.261,0.118,0.251,0.254,0.261,0.251,0.26,0.123,0.249,0.254,0.255,0.171,0.17,0.172,0.174,0.175,0.182,0.159,0.164,0.164,0.161,0.164,0.165,0.257,0.254,0.254,0.251,0.258,0.256,0.254,0.258,0.257,0.248,0.251,0.252,0.175,0.173,0.172,0.173,0.174,0.176,0.162,0.164,0.158,0.161,0.156,0.16,0.212,0.214,0.217,0.213,0.213,0.213,0.193,0.192,0.194,0.19,0.187,0.192,0.243,0.248,0.246,0.24,0.247,0.247,0.244,0.242,0.249,0.234,0.245,0.24,0.203,0.204,0.208,0.202,0.205,0.203,0.192,0.19,0.187,0.187,0.19,0.188,0.229,0.229,0.238,0.22,0.225,0.223,0.229,0.229,0.228,0.225,0.223,0.224
02:00:00,30,0.285,0.283,0.118,0.269,0.272,0.279,0.27,0.279,0.123,0.264,0.27,0.272,0.178,0.176,0.179,0.18,0.181,0.188,0.16,0.166,0.165,0.163,0.165,0.167,0.277,0.275,0.276,0.268,0.274,0.274,0.272,0.276,0.276,0.264,0.266,0.269,0.181,0.18,0.179,0.179,0.18,0.182,0.163,0.165,0.159,0.163,0.158,0.161,0.223,0.225,0.227,0.221,0.222,0.221,0.195,0.194,0.194,0.191,0.188,0.193,0.262,0.268,0.266,0.256,0.263,0.263,0.261,0.259,0.267,0.249,0.26,0.255,0.212,0.212,0.217,0.204,0.213,0.21,0.194,0.191,0.188,0.188,0.192,0.189,0.244,0.245,0.255,0.232,0.237,0.235,0.24,0.243,0.242,0.237,0.234,0.235
02:15:00,30,0.31,0.309,0.118,0.29,0.293,0.299,0.292,0.301,0.123,0.282,0.288,0.29,0.186,0.184,0.187,0.186,0.188,0.195,0.162,0.167,0.166,0.164,0.167,0.168,0.301,0.3,0.301,0.285,0.294,0.293,0.292,0.298,0.297,0.28,0.283,0.285,0.189,0.188,0.187,0.185,0.186,0.188,0.164,0.166,0.16,0.165,0.159,0.163,0.235,0.237,0.239,0.229,0.23,0.23,0.195,0.194,0.195,0.192,0.189,0.194,0.285,0.29,0.289,0.274,0.282,0.281,0.28,0.279,0.286,0.265,0.275,0.271,0.22,0.221,0.226,0.211,0.22,0.218,0.195,0.192,0.19,0.189,0.193,0.19,0.262,0.263,0.271,0.245,0.251,0.248,0.256,0.259,0.258,0.249,0.246,0.248
