Time,T600,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
0:01:02,28.7,0.177,0.178,0.166,0.178,0.178,0.168,0.175,0.17,0.181,0.165,0.169,0.168,0.181,0.176,0.177,0.177,0.184,0.171,0.169,0.172,0.187,0.171,0.178,0.173,0.181,0.171,0.174,0.178,0.185,0.173,0.18,0.186,0.18,0.173,0.172,0.18,0.177,0.173,0.18,0.18,0.18,0.167,0.176,0.174,0.179,0.173,0.18,0.179,0.172,0.185,0.174,0.17,0.172,0.189,0.185,0.114,0.166,0.175,0.178,0.175,0.175,0.187,0.182,0.119,0.174,0.179,0.172,0.171,0.182,0.175,0.18,0.129,0.171,0.182,0.171,0.169,0.178,0.186,0.18,0.113,0.17,0.19,0.172,0.169,0.174,0.176,0.178,0.113,0.173,0.175,0.176,0.176,0.175,0.181,0.176,0.116
0:16:02,36.9,0.183,0.182,0.17,0.184,0.185,0.172,0.18,0.175,0.186,0.168,0.172,0.173,0.189,0.18,0.183,0.182,0.19,0.173,0.172,0.177,0.193,0.177,0.184,0.178,0.186,0.173,0.175,0.182,0.192,0.179,0.186,0.191,0.183,0.176,0.176,0.185,0.183,0.176,0.186,0.183,0.187,0.172,0.18,0.18,0.185,0.177,0.185,0.182,0.172,0.185,0.176,0.174,0.173,0.191,0.186,0.113,0.169,0.176,0.177,0.178,0.176,0.188,0.184,0.118,0.176,0.181,0.174,0.176,0.183,0.176,0.178,0.127,0.174,0.181,0.174,0.174,0.18,0.187,0.181,0.113,0.172,0.186,0.174,0.173,0.174,0.178,0.179,0.112,0.178,0.175,0.177,0.178,0.175,0.182,0.178,0.116
0:31:02,37,0.196,0.19,0.179,0.194,0.197,0.182,0.192,0.186,0.198,0.176,0.181,0.183,0.201,0.189,0.194,0.194,0.202,0.182,0.179,0.189,0.204,0.186,0.195,0.189,0.197,0.181,0.182,0.192,0.203,0.188,0.195,0.201,0.194,0.185,0.184,0.194,0.193,0.185,0.195,0.194,0.199,0.18,0.188,0.189,0.196,0.185,0.195,0.192,0.175,0.187,0.176,0.182,0.175,0.192,0.188,0.113,0.171,0.177,0.178,0.186,0.177,0.19,0.184,0.118,0.178,0.182,0.175,0.184,0.184,0.178,0.179,0.126,0.177,0.183,0.174,0.181,0.181,0.188,0.183,0.113,0.174,0.185,0.174,0.181,0.175,0.179,0.181,0.112,0.181,0.176,0.178,0.187,0.178,0.184,0.179,0.116
0:46:02,37,0.211,0.204,0.193,0.209,0.213,0.197,0.208,0.202,0.215,0.188,0.194,0.197,0.216,0.203,0.21,0.21,0.218,0.196,0.193,0.204,0.22,0.2,0.214,0.205,0.213,0.194,0.197,0.204,0.219,0.201,0.21,0.217,0.211,0.197,0.198,0.208,0.209,0.198,0.21,0.208,0.215,0.193,0.2,0.203,0.211,0.198,0.211,0.207,0.177,0.189,0.179,0.196,0.177,0.194,0.191,0.112,0.175,0.179,0.18,0.199,0.18,0.193,0.188,0.117,0.181,0.184,0.177,0.198,0.186,0.181,0.183,0.125,0.18,0.184,0.176,0.193,0.182,0.19,0.188,0.113,0.177,0.186,0.177,0.193,0.178,0.182,0.184,0.112,0.183,0.178,0.18,0.2,0.181,0.187,0.183,0.117
1:01:02,37,0.229,0.218,0.208,0.228,0.231,0.214,0.226,0.221,0.233,0.202,0.21,0.214,0.234,0.219,0.228,0.228,0.235,0.211,0.209,0.221,0.239,0.215,0.228,0.223,0.229,0.209,0.213,0.219,0.235,0.216,0.226,0.234,0.227,0.211,0.215,0.223,0.226,0.213,0.226,0.221,0.232,0.207,0.214,0.219,0.228,0.214,0.227,0.223,0.182,0.191,0.182,0.212,0.18,0.198,0.195,0.112,0.177,0.181,0.182,0.215,0.183,0.196,0.19,0.118,0.184,0.187,0.179,0.214,0.189,0.185,0.187,0.126,0.184,0.186,0.18,0.208,0.185,0.193,0.193,0.113,0.179,0.188,0.179,0.208,0.181,0.185,0.188,0.112,0.188,0.18,0.181,0.216,0.184,0.192,0.186,0.117
1:16:02,37,0.251,0.236,0.226,0.248,0.252,0.234,0.246,0.242,0.254,0.219,0.228,0.234,0.255,0.238,0.249,0.25,0.257,0.229,0.227,0.241,0.26,0.234,0.249,0.244,0.247,0.224,0.227,0.235,0.253,0.232,0.243,0.252,0.246,0.227,0.23,0.24,0.244,0.229,0.244,0.237,0.251,0.223,0.229,0.236,0.246,0.231,0.245,0.241,0.184,0.193,0.182,0.231,0.184,0.201,0.199,0.112,0.18,0.183,0.184,0.233,0.186,0.2,0.194,0.117,0.186,0.189,0.181,0.233,0.191,0.188,0.19,0.126,0.186,0.188,0.182,0.223,0.187,0.197,0.196,0.113,0.181,0.19,0.181,0.223,0.183,0.189,0.192,0.112,0.189,0.182,0.183,0.232,0.188,0.195,0.19,0.117
1:31:02,37.1,0.277,0.257,0.248,0.272,0.278,0.258,0.272,0.268,0.28,0.239,0.249,0.259,0.281,0.262,0.274,0.275,0.282,0.25,0.247,0.265,0.285,0.257,0.275,0.27,0.271,0.243,0.244,0.256,0.273,0.251,0.266,0.273,0.269,0.246,0.247,0.26,0.264,0.248,0.265,0.256,0.273,0.24,0.247,0.257,0.268,0.251,0.266,0.262,0.186,0.195,0.183,0.253,0.187,0.204,0.203,0.112,0.182,0.185,0.186,0.254,0.189,0.203,0.197,0.117,0.187,0.191,0.182,0.254,0.194,0.192,0.192,0.125,0.187,0.189,0.182,0.241,0.19,0.2,0.198,0.113,0.184,0.192,0.182,0.241,0.186,0.192,0.196,0.111,0.192,0.184,0.184,0.251,0.191,0.199,0.194,0.117
1:46:02,37,0.311,0.284,0.275,0.303,0.312,0.288,0.305,0.299,0.314,0.264,0.275,0.288,0.314,0.292,0.306,0.307,0.316,0.278,0.272,0.296,0.317,0.286,0.306,0.3,0.298,0.265,0.264,0.278,0.297,0.274,0.29,0.299,0.297,0.267,0.269,0.284,0.289,0.271,0.29,0.279,0.301,0.262,0.268,0.282,0.294,0.274,0.292,0.288,0.188,0.196,0.184,0.28,0.19,0.207,0.207,0.112,0.185,0.187,0.187,0.281,0.192,0.206,0.201,0.116,0.189,0.193,0.184,0.28,0.198,0.195,0.195,0.125,0.187,0.191,0.183,0.262,0.193,0.204,0.201,0.113,0.186,0.194,0.184,0.261,0.19,0.195,0.2,0.112,0.194,0.186,0.186,0.272,0.196,0.203,0.197,0.117
2:01:02,37,0.352,0.317,0.308,0.34,0.352,0.325,0.344,0.339,0.354,0.294,0.308,0.325,0.354,0.327,0.346,0.345,0.356,0.311,0.305,0.334,0.359,0.321,0.345,0.34,0.33,0.291,0.288,0.305,0.327,0.301,0.32,0.328,0.33,0.293,0.295,0.312,0.318,0.297,0.319,0.306,0.334,0.288,0.293,0.311,0.323,0.302,0.322,0.317,0.19,0.198,0.186,0.313,0.193,0.21,0.21,0.111,0.187,0.188,0.189,0.314,0.195,0.209,0.204,0.116,0.191,0.194,0.185,0.313,0.2,0.199,0.199,0.125,0.189,0.192,0.184,0.285,0.196,0.207,0.204,0.113,0.188,0.195,0.185,0.285,0.193,0.198,0.203,0.112,0.195,0.187,0.188,0.297,0.199,0.206,0.201,0.117
2:16:02,37,0.4,0.356,0.348,0.386,0.398,0.37,0.391,0.386,0.402,0.33,0.347,0.37,0.399,0.37,0.392,0.393,0.404,0.349,0.344,0.38,0.403,0.362,0.392,0.387,0.366,0.321,0.315,0.337,0.361,0.331,0.354,0.362,0.366,0.324,0.325,0.346,0.352,0.328,0.354,0.338,0.371,0.318,0.322,0.344,0.358,0.334,0.356,0.352,0.193,0.199,0.187,0.353,0.197,0.213,0.213,0.111,0.189,0.19,0.19,0.353,0.198,0.212,0.207,0.116,0.194,0.196,0.186,0.352,0.203,0.201,0.202,0.125,0.191,0.193,0.185,0.311,0.198,0.21,0.208,0.113,0.191,0.198,0.186,0.311,0.196,0.201,0.206,0.111,0.198,0.189,0.189,0.324,0.202,0.209,0.204,0.117
