Time,T600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3
00:00:00,30,0.179,0.18,0.182,0.18,0.185,0.188,0.184,0.191,0.192,0.184,0.187,0.18,0.18,0.174,0.18,0.187,0.184,0.184,0.191,0.185,0.186,0.188,0.186,0.181,0.171,0.17,0.171,0.171,0.177,0.179,0.179,0.179,0.18,0.173,0.177,0.174,0.185,0.177,0.182,0.183,0.18,0.188,0.19,0.185,0.189,0.184,0.183,0.183,0.192,0.189,0.192,0.191,0.19,0.192,0.198,0.195,0.189,0.191,0.187,0.19,0.12,0.121,0.125
00:15:00,30,0.184,0.185,0.188,0.186,0.192,0.195,0.188,0.197,0.198,0.189,0.192,0.186,0.187,0.18,0.186,0.192,0.189,0.19,0.196,0.19,0.19,0.193,0.191,0.187,0.174,0.173,0.174,0.174,0.179,0.182,0.18,0.18,0.181,0.173,0.178,0.176,0.191,0.183,0.188,0.188,0.186,0.194,0.195,0.189,0.194,0.19,0.189,0.19,0.198,0.195,0.198,0.197,0.196,0.199,0.204,0.201,0.196,0.197,0.194,0.197,0.119,0.12,0.124
00:30:00,30.1,0.195,0.196,0.199,0.196,0.202,0.205,0.197,0.207,0.208,0.198,0.202,0.196,0.196,0.189,0.196,0.202,0.199,0.2,0.206,0.2,0.2,0.201,0.2,0.197,0.18,0.179,0.181,0.179,0.185,0.188,0.182,0.183,0.182,0.175,0.179,0.178,0.201,0.194,0.198,0.197,0.196,0.204,0.204,0.199,0.204,0.199,0.198,0.2,0.209,0.206,0.209,0.208,0.207,0.21,0.214,0.211,0.206,0.207,0.204,0.208,0.119,0.119,0.123
00:45:00,30.3,0.208,0.21,0.213,0.209,0.215,0.219,0.21,0.22,0.221,0.209,0.214,0.208,0.209,0.201,0.209,0.215,0.212,0.213,0.218,0.212,0.213,0.212,0.212,0.208,0.19,0.188,0.19,0.188,0.194,0.197,0.186,0.186,0.186,0.178,0.183,0.181,0.213,0.206,0.21,0.21,0.208,0.217,0.215,0.211,0.216,0.21,0.21,0.212,0.222,0.22,0.223,0.221,0.22,0.224,0.226,0.223,0.22,0.219,0.217,0.22,0.119,0.119,0.123
01:00:00,30.5,0.224,0.225,0.227,0.223,0.23,0.233,0.224,0.235,0.235,0.223,0.228,0.221,0.224,0.215,0.224,0.228,0.227,0.228,0.231,0.225,0.226,0.224,0.224,0.221,0.201,0.2,0.201,0.199,0.205,0.207,0.19,0.191,0.19,0.181,0.186,0.185,0.228,0.221,0.225,0.223,0.222,0.231,0.229,0.225,0.231,0.222,0.223,0.225,0.238,0.236,0.238,0.236,0.235,0.239,0.241,0.238,0.235,0.232,0.23,0.234,0.118,0.119,0.123
01:15:00,30.8,0.242,0.243,0.246,0.238,0.245,0.248,0.241,0.251,0.254,0.236,0.241,0.235,0.241,0.232,0.241,0.243,0.242,0.243,0.243,0.238,0.239,0.236,0.236,0.233,0.213,0.212,0.213,0.209,0.216,0.218,0.195,0.196,0.195,0.186,0.19,0.19,0.246,0.239,0.243,0.238,0.237,0.246,0.245,0.241,0.247,0.235,0.236,0.239,0.256,0.255,0.257,0.251,0.251,0.255,0.258,0.255,0.252,0.246,0.244,0.248,0.118,0.119,0.123
01:30:00,31,0.263,0.264,0.267,0.257,0.263,0.266,0.26,0.271,0.273,0.252,0.257,0.251,0.261,0.251,0.262,0.26,0.26,0.26,0.256,0.251,0.252,0.247,0.248,0.245,0.228,0.227,0.228,0.223,0.228,0.231,0.2,0.201,0.201,0.191,0.195,0.195,0.266,0.259,0.263,0.255,0.255,0.264,0.263,0.26,0.266,0.25,0.251,0.254,0.279,0.277,0.279,0.27,0.27,0.274,0.278,0.276,0.273,0.261,0.259,0.265,0.118,0.119,0.123
01:45:00,31.2,0.289,0.29,0.293,0.277,0.285,0.287,0.282,0.294,0.297,0.268,0.273,0.267,0.285,0.274,0.286,0.28,0.28,0.281,0.269,0.264,0.266,0.257,0.258,0.255,0.246,0.245,0.246,0.237,0.243,0.246,0.205,0.206,0.206,0.195,0.2,0.199,0.291,0.284,0.288,0.275,0.276,0.284,0.284,0.281,0.288,0.266,0.267,0.27,0.305,0.304,0.306,0.291,0.292,0.296,0.301,0.298,0.296,0.278,0.276,0.282,0.118,0.118,0.122
02:00:00,31.5,0.32,0.321,0.325,0.302,0.31,0.312,0.309,0.322,0.323,0.288,0.291,0.286,0.314,0.301,0.315,0.303,0.304,0.305,0.282,0.277,0.279,0.268,0.267,0.265,0.269,0.267,0.268,0.254,0.26,0.263,0.211,0.212,0.212,0.199,0.204,0.203,0.32,0.314,0.318,0.299,0.3,0.309,0.31,0.307,0.314,0.284,0.286,0.289,0.337,0.336,0.338,0.317,0.319,0.323,0.329,0.326,0.324,0.298,0.297,0.303,0.118,0.119,0.122
02:15:00,31.7,0.355,0.356,0.36,0.331,0.34,0.341,0.338,0.352,0.354,0.31,0.313,0.308,0.347,0.332,0.348,0.33,0.332,0.332,0.294,0.289,0.291,0.274,0.275,0.272,0.295,0.292,0.294,0.274,0.279,0.282,0.216,0.218,0.218,0.2,0.205,0.204,0.355,0.348,0.352,0.326,0.327,0.336,0.338,0.336,0.343,0.304,0.307,0.311,0.372,0.372,0.374,0.346,0.348,0.353,0.359,0.356,0.356,0.319,0.318,0.325,0.118,0.118,0.122
02:30:00,31.8,0.397,0.397,0.403,0.364,0.375,0.373,0.372,0.387,0.389,0.334,0.336,0.331,0.385,0.369,0.387,0.36,0.362,0.362,0.304,0.299,0.302,0.277,0.279,0.275,0.326,0.323,0.325,0.295,0.3,0.303,0.223,0.224,0.225,0.194,0.197,0.196,0.395,0.387,0.392,0.357,0.358,0.368,0.371,0.369,0.376,0.327,0.33,0.334,0.414,0.413,0.416,0.379,0.382,0.386,0.393,0.389,0.391,0.344,0.342,0.35,0.118,0.119,0.122
02:45:00,32,0.438,0.439,0.446,0.399,0.412,0.41,0.41,0.425,0.428,0.36,0.363,0.358,0.426,0.408,0.429,0.393,0.396,0.395,0.313,0.308,0.311,0.276,0.277,0.274,0.362,0.36,0.363,0.316,0.32,0.322,0.229,0.231,0.232,0.175,0.178,0.175,0.437,0.429,0.434,0.391,0.394,0.402,0.408,0.408,0.414,0.351,0.355,0.36,0.455,0.456,0.458,0.412,0.417,0.424,0.431,0.426,0.43,0.37,0.369,0.378,0.118,0.119,0.122
03:00:00,32.2,0.484,0.486,0.492,0.435,0.45,0.447,0.453,0.469,0.472,0.39,0.391,0.387,0.47,0.452,0.475,0.428,0.433,0.432,0.321,0.316,0.319,0.271,0.272,0.269,0.396,0.393,0.396,0.331,0.334,0.336,0.236,0.239,0.239,0.156,0.158,0.155,0.482,0.475,0.481,0.428,0.432,0.441,0.447,0.447,0.454,0.378,0.383,0.388,0.5,0.501,0.504,0.447,0.453,0.459,0.472,0.467,0.472,0.398,0.397,0.408,0.118,0.118,0.122
03:15:00,32.3,0.534,0.536,0.542,0.467,0.484,0.481,0.496,0.513,0.517,0.42,0.421,0.418,0.517,0.496,0.523,0.458,0.464,0.462,0.327,0.322,0.326,0.264,0.265,0.261,0.435,0.432,0.435,0.328,0.332,0.333,0.243,0.246,0.246,0.137,0.139,0.136,0.529,0.525,0.53,0.46,0.464,0.471,0.489,0.49,0.496,0.405,0.41,0.414,0.547,0.548,0.551,0.483,0.489,0.495,0.515,0.51,0.516,0.427,0.428,0.437,0.117,0.118,0.121
03:30:00,32.4,0.545,0.55,0.557,0.496,0.513,0.509,0.544,0.562,0.565,0.445,0.444,0.44,0.542,0.529,0.55,0.484,0.492,0.49,0.334,0.329,0.333,0.257,0.258,0.255,0.477,0.474,0.477,0.288,0.28,0.277,0.252,0.254,0.255,0.124,0.126,0.124,0.548,0.547,0.553,0.489,0.494,0.501,0.535,0.537,0.544,0.43,0.434,0.438,0.559,0.561,0.565,0.523,0.531,0.536,0.556,0.548,0.552,0.458,0.459,0.469,0.117,0.118,0.122
03:45:00,32.5,0.568,0.572,0.579,0.516,0.534,0.532,0.557,0.576,0.58,0.468,0.468,0.462,0.561,0.546,0.569,0.506,0.515,0.513,0.34,0.336,0.34,0.25,0.251,0.248,0.52,0.518,0.522,0.193,0.186,0.183,0.259,0.262,0.263,0.121,0.123,0.122,0.567,0.566,0.573,0.509,0.515,0.524,0.553,0.555,0.561,0.448,0.454,0.457,0.583,0.586,0.589,0.537,0.541,0.545,0.571,0.56,0.566,0.488,0.49,0.5,0.117,0.118,0.122
04:00:00,32.6,0.59,0.594,0.603,0.514,0.529,0.531,0.579,0.599,0.602,0.486,0.484,0.479,0.584,0.569,0.592,0.52,0.532,0.53,0.347,0.342,0.346,0.243,0.245,0.241,0.554,0.553,0.556,0.149,0.15,0.151,0.268,0.27,0.272,0.121,0.123,0.121,0.588,0.587,0.597,0.515,0.516,0.524,0.571,0.574,0.58,0.463,0.468,0.471,0.606,0.61,0.612,0.548,0.554,0.556,0.594,0.581,0.588,0.521,0.523,0.535,0.117,0.118,0.122
04:15:00,32.6,0.61,0.614,0.623,0.477,0.483,0.485,0.603,0.624,0.628,0.497,0.496,0.489,0.605,0.59,0.613,0.518,0.529,0.527,0.349,0.344,0.346,0.237,0.239,0.235,0.569,0.568,0.572,0.137,0.14,0.142,0.276,0.279,0.281,0.121,0.123,0.121,0.608,0.608,0.618,0.484,0.485,0.491,0.593,0.596,0.602,0.474,0.481,0.483,0.626,0.63,0.633,0.557,0.562,0.567,0.618,0.601,0.61,0.542,0.544,0.548,0.117,0.118,0.121
04:30:00,32.7,0.627,0.631,0.64,0.421,0.427,0.426,0.624,0.647,0.651,0.502,0.5,0.493,0.623,0.607,0.632,0.487,0.498,0.498,0.352,0.347,0.349,0.232,0.233,0.229,0.586,0.586,0.59,0.133,0.135,0.138,0.284,0.287,0.289,0.12,0.122,0.121,0.625,0.625,0.636,0.438,0.442,0.447,0.613,0.616,0.622,0.48,0.485,0.487,0.643,0.649,0.651,0.562,0.567,0.574,0.639,0.618,0.629,0.543,0.543,0.551,0.117,0.118,0.121
04:45:00,32.7,0.643,0.647,0.656,0.389,0.395,0.394,0.645,0.668,0.672,0.497,0.491,0.482,0.639,0.623,0.648,0.445,0.462,0.463,0.358,0.352,0.355,0.227,0.228,0.223,0.602,0.602,0.606,0.131,0.133,0.136,0.293,0.296,0.298,0.12,0.123,0.121,0.641,0.64,0.654,0.404,0.409,0.415,0.63,0.633,0.64,0.461,0.46,0.457,0.66,0.667,0.669,0.563,0.571,0.577,0.657,0.635,0.647,0.548,0.548,0.555,0.117,0.118,0.121
05:00:00,32.8,0.66,0.665,0.674,0.372,0.378,0.375,0.663,0.688,0.692,0.47,0.458,0.448,0.657,0.641,0.666,0.418,0.44,0.44,0.365,0.359,0.362,0.222,0.223,0.218,0.617,0.617,0.621,0.129,0.132,0.135,0.3,0.301,0.305,0.12,0.122,0.121,0.659,0.657,0.672,0.38,0.385,0.393,0.647,0.65,0.656,0.434,0.433,0.432,0.68,0.687,0.69,0.561,0.57,0.578,0.675,0.649,0.663,0.551,0.549,0.558,0.117,0.118,0.121
05:15:00,32.8,0.68,0.683,0.694,0.362,0.367,0.365,0.683,0.71,0.714,0.434,0.419,0.413,0.677,0.66,0.686,0.402,0.426,0.426,0.373,0.367,0.369,0.216,0.219,0.214,0.631,0.631,0.635,0.128,0.131,0.134,0.304,0.308,0.309,0.12,0.122,0.121,0.678,0.676,0.693,0.365,0.37,0.378,0.662,0.666,0.671,0.406,0.405,0.403,0.684,0.686,0.689,0.559,0.568,0.578,0.695,0.665,0.68,0.55,0.548,0.559,0.117,0.118,0.121
05:30:00,32.8,0.674,0.681,0.692,0.355,0.36,0.358,0.692,0.711,0.715,0.408,0.392,0.388,0.676,0.663,0.689,0.392,0.416,0.417,0.382,0.376,0.377,0.212,0.214,0.209,0.644,0.645,0.648,0.127,0.13,0.133,0.313,0.318,0.318,0.12,0.122,0.121,0.681,0.684,0.694,0.354,0.361,0.368,0.679,0.683,0.689,0.383,0.385,0.382,0.684,0.687,0.69,0.557,0.568,0.579,0.691,0.677,0.688,0.55,0.549,0.559,0.117,0.118,0.121
05:45:00,32.9,0.674,0.681,0.691,0.349,0.355,0.353,0.689,0.71,0.714,0.389,0.375,0.372,0.675,0.662,0.687,0.384,0.41,0.41,0.391,0.385,0.386,0.208,0.21,0.205,0.65,0.649,0.653,0.126,0.13,0.133,0.323,0.327,0.327,0.12,0.122,0.12,0.68,0.682,0.694,0.346,0.352,0.36,0.683,0.688,0.692,0.369,0.372,0.369,0.685,0.689,0.691,0.55,0.566,0.58,0.692,0.673,0.685,0.551,0.549,0.559,0.117,0.118,0.121
06:00:00,32.9,0.674,0.68,0.691,0.345,0.352,0.349,0.689,0.71,0.715,0.377,0.366,0.363,0.675,0.662,0.686,0.379,0.406,0.405,0.399,0.394,0.395,0.204,0.206,0.2,0.648,0.647,0.65,0.126,0.129,0.132,0.33,0.333,0.333,0.12,0.122,0.12,0.679,0.68,0.694,0.341,0.347,0.356,0.68,0.685,0.69,0.359,0.363,0.36,0.687,0.69,0.693,0.551,0.565,0.581,0.692,0.672,0.685,0.551,0.551,0.558,0.117,0.118,0.121
